"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
26082_D_1046761,0,0,0,0,0,0,1,20240521,20240621
26082_S_1046281,0,0,0,0,0,1,0,20240521,20240621
26082_U_1025280,1,1,1,1,1,0,0,20240521,20240621
12432_D_615971,0,0,0,0,0,0,1,20240521,20240621
12432_S_848980,0,0,0,0,0,1,0,20240521,20240621
12432_U_873013,1,1,1,1,1,0,0,20240521,20240621
12444_D_534285,0,0,0,0,0,0,1,20240521,20240621
12444_S_517260,0,0,0,0,0,1,0,20240521,20240621
12444_U_929192,1,1,1,1,1,0,0,20240521,20240621
23432_D_1024996,0,0,0,0,0,0,1,20240521,20240621
23432_S_1024597,0,0,0,0,0,1,0,20240521,20240621
23432_U_1029561,1,1,1,1,1,0,0,20240521,20240621
77825_D_1040230,0,0,0,0,0,0,1,20240521,20240621
77825_S_1040203,0,0,0,0,0,1,0,20240521,20240621
54164_U_1037312,1,1,1,1,1,0,0,20240521,20240621
19911_D_1046731,0,0,0,0,0,0,1,20240521,20240621
19911_S_1046285,0,0,0,0,0,1,0,20240521,20240621
19911_U_1047138,1,1,1,1,1,0,0,20240521,20240621
25841_D_1046770,0,0,0,0,0,0,1,20240521,20240621
25841_S_1046289,0,0,0,0,0,1,0,20240521,20240621
25841_U_1047145,1,1,1,1,1,0,0,20240521,20240621
37539_D_1046870,0,0,0,0,0,0,1,20240521,20240621
37539_S_1046291,0,0,0,0,0,1,0,20240521,20240621
37539_U_1047147,1,1,1,1,1,0,0,20240521,20240621
12486_S_996092,0,0,0,0,0,1,0,20240521,20240621
12486_U_1047160,1,1,1,1,1,0,0,20240521,20240621
25537_D_1046734,0,0,0,0,0,0,1,20240521,20240621
25538_D_1046734,0,0,0,0,0,0,1,20240521,20240621
25538_S_1046288,0,0,0,0,0,1,0,20240521,20240621
25537_S_1046288,0,0,0,0,0,1,0,20240521,20240621
25537_U_1047144,1,1,1,1,1,0,0,20240521,20240621
63978_S_942136,0,0,0,0,0,1,0,20240521,20240621
63978_U_1025304,1,1,1,1,1,0,0,20240521,20240621
12495_S_942133,0,0,0,0,0,1,0,20240521,20240621
12495_U_1025291,1,1,1,1,1,0,0,20240521,20240621
28689_D_1046726,0,0,0,0,0,0,1,20240521,20240621
28689_S_1046280,0,0,0,0,0,1,0,20240521,20240621
28689_U_1025279,1,1,1,1,1,0,0,20240521,20240621
25845_D_1046819,0,0,0,0,0,0,1,20240521,20240621
25845_S_1046302,0,0,0,0,0,1,0,20240521,20240621
25845_U_1047156,1,1,1,1,1,0,0,20240521,20240621
12503_D_1046740,0,0,0,0,0,0,1,20240521,20240621
12503_S_1046294,0,0,0,0,0,1,0,20240521,20240621
12503_U_1047150,1,1,1,1,1,0,0,20240521,20240621
53432_D_879016,0,0,0,0,0,0,1,20240521,20240621
53432_S_942139,0,0,0,0,0,1,0,20240521,20240621
53432_U_1032648,1,1,1,1,1,0,0,20240521,20240621
12515_D_879042,0,0,0,0,0,0,1,20240521,20240621
12515_S_942140,0,0,0,0,0,1,0,20240521,20240621
12515_U_1032649,1,1,1,1,1,0,0,20240521,20240621
62779_D_879029,0,0,0,0,0,0,1,20240521,20240621
62779_S_942099,0,0,0,0,0,1,0,20240521,20240621
62779_U_1032650,1,1,1,1,1,0,0,20240521,20240621
12521_D_839683,0,0,0,0,0,0,1,20240521,20240621
12521_S_839499,0,0,0,0,0,1,0,20240521,20240621
12521_U_989951,1,1,1,1,1,0,0,20240521,20240621
12522_D_1046762,0,0,0,0,0,0,1,20240521,20240621
12522_S_1046282,0,0,0,0,0,1,0,20240521,20240621
12522_U_1025282,1,1,1,1,1,0,0,20240521,20240621
12550_D_1046876,0,0,0,0,0,0,1,20240521,20240621
