"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_color","route_text_color"
4089,"1","1230","Sussuarana x Barra R1.","",3,"",""
4450,"1","1321","São Marcos x Barroquinha","",3,"",""
4518,"1","1103","Alto do Cruzeiro/Pernambués x Shop.Bela Vista/Term Ac.Norte","",3,"",""
4523,"1","1405","Estação Pirajá x Cajazeiras 8","",3,"",""
4524,"1","1137","Pernambués x Barra","",3,"",""
4571,"1","1245","Estação Pirajá x Mata Escura","",3,"",""
4852,"1","1324","Estação Pirajá x Sete de Abril","",3,"",""
4855,"1","1339","Estação Pirajá x São Joaquim/Comércio","",3,"",""
4859,"1","1403","Cajazeiras 11 x Ribeira","",3,"",""
4874,"1","1310","Estação Pirajá x CAB","",3,"",""
4544,"1","1363","Pau da Lima x Aeroclube/Costa azul","",3,"",""
4888,"1","1317","Pau da Lima x Barroquinha","",3,"",""
4896,"1","1225","Sussuarana x Lapa Via Ogunjá","",3,"",""
4875,"1","1397","Estação Pirajá x Canabrava","",3,"",""
5100,"1","1346","Estação Pirajá x Itapuã.","",3,"",""
5853,"1","1102","Cabula VI x Lapa","",3,"",""
5856,"1","1130","Cabula VI x Ondina","",3,"",""
5857,"1","1131","Cabula VI x Siero R1","",3,"",""
5861,"1","1215","Engomadeira x Lapa","",3,"",""
5863,"1","1231","Sussuarana x Barra R2","",3,"",""
5898,"1","1386","Nova Brasília/Jd.Nova Esperança/Sete Abril x Barra","",3,"",""
5899,"1","1389","Estação Pirajá x Jd.Esperança/N.Brasília","",3,"",""
4812,"1","1413","Boca da Mata x Lapa","",3,"",""
5949,"1","1239","Mata Escura/Term.Acesso Norte x Barra","",3,"",""
5952,"1","1340","Estação Pirajá x Barra 1","",3,"",""
4934,"1","1211","Tancredo Neves/Term.Ac.Norte x Barra","",3,"",""
4814,"1","1327","Estação Pirajá x Barroquinha","",3,"",""
5867,"1","1338","Estação Pirajá X Vila Canária","",3,"",""
5986,"1","1398","Estação Pirajá x Calabetão","",3,"",""
5981,"1","1420","Boca da Mata x Pituba","",3,"",""
6133,"1","T014","REGULADOR ESTAÇÃO PIRAJÁ.","",3,"",""
4553,"1","1303","Castelo Branco x Campo Grande","",3,"",""
4567,"1","1388","Estação Pirajá x Barra 3","",3,"",""
5004,"1","1399","Estação Pirajá x Jardim Cajazeiras","",3,"",""
5781,"1","0518","Sussuarana x Engenho Velho de Brotas","",3,"",""
5783,"1","1118","Terminal Acesso Norte x São Gonçalo","",3,"",""
5784,"1","1141","Cabula VI x Ribeira R1","",3,"",""
5785,"1","1142","Cabula VI x Ribeira R2","",3,"",""
6718,"1","1334","Sete De Abril x Lapa","",3,"",""
6719,"1","1347","Estação Piraja x Pituba","",3,"",""
6722,"1","1203","Tancredo Neves x Campo Grande","",3,"",""
6709,"1","1320","Pau Da Lima x Nordeste de Amaralina","",3,"",""
6710,"1","1341","Estação Pirajá x Barra 2","",3,"",""
6738,"1","1436","Cajazeiras 11 x Pituba","",3,"",""
6869,"1","123001","Novo Horizonte X Barra R1","",3,"",""
6880,"1","123101","Novo Horizonte x Barra R2","",3,"",""
7168,"1","1123","Term.Acesso Norte x Saboeiro/Estação Imbuì","",3,"",""
7172,"1","1247","Estação Pirajá/Árvoredo/Tanc.Neves x Estação Imbuí","",3,"",""
