shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"7","-12.978861","-38.464049","1","0"
"7","-12.979285","-38.464275","2","53"
"7","-12.979745","-38.464835","3","132"
"7","-12.980126","-38.465516","4","217"
"7","-12.980309","-38.465698","5","245"
"7","-12.980550","-38.465867","6","277"
"7","-12.980804","-38.465937","7","306"
"7","-12.981070","-38.465983","8","336"
"7","-12.981274","-38.466010","9","359"
"7","-12.981611","-38.466055","10","397"
"7","-12.981789","-38.466104","11","418"
"7","-12.982113","-38.466219","12","456"
"7","-12.982391","-38.466401","13","493"
"7","-12.982757","-38.466600","14","539"
"7","-12.983196","-38.466761","15","591"
"7","-12.983593","-38.466911","16","638"
"7","-12.983990","-38.466932","17","682"
"7","-12.984241","-38.466954","18","710"
"7","-12.984785","-38.467018","19","771"
"7","-12.985193","-38.467050","20","817"
"7","-12.985694","-38.467061","21","873"
"7","-12.986230","-38.467108","22","933"
"7","-12.986669","-38.467151","23","982"
"7","-12.987265","-38.467344","24","1052"
"7","-12.987714","-38.467623","25","1110"
"7","-12.988028","-38.468192","26","1181"
"7","-12.988425","-38.469168","27","1296"
"7","-12.988603","-38.469887","28","1376"
"7","-12.988844","-38.470758","29","1474"
"7","-12.989000","-38.471595","30","1566"
"7","-12.989115","-38.472131","31","1626"
"7","-12.989387","-38.472603","32","1685"
"7","-12.989764","-38.473108","33","1754"
"7","-12.990043","-38.473348","34","1795"
"7","-12.990597","-38.473927","35","1883"
"7","-12.991005","-38.474388","36","1951"
"7","-12.991737","-38.475118","37","2065"
"7","-12.992249","-38.475483","38","2134"
"7","-12.992709","-38.475697","39","2190"
"7","-12.993138","-38.475740","40","2238"
"7","-12.993483","-38.475730","41","2276"
"7","-12.993995","-38.475730","42","2333"
"7","-12.994601","-38.475579","43","2402"
"7","-12.994957","-38.475376","44","2447"
"7","-12.995385","-38.474946","45","2514"
"7","-12.995678","-38.474528","46","2570"
"7","-12.995762","-38.474034","47","2624"
"7","-12.995856","-38.473541","48","2678"
"7","-12.995929","-38.472983","49","2739"
"7","-12.996013","-38.472350","50","2808"
"7","-12.996138","-38.471717","51","2878"
"7","-12.996169","-38.471095","52","2946"
"7","-12.996232","-38.470387","53","3023"
"7","-12.996243","-38.469582","54","3110"
"7","-12.996274","-38.468863","55","3188"
"7","-12.996347","-38.468134","56","3267"
"7","-12.996358","-38.467619","57","3323"
"7","-12.996419","-38.467186","58","3370"
"7","-12.996462","-38.466864","59","3405"
"7","-12.996534","-38.466451","60","3451"
"7","-12.996662","-38.466021","61","3500"
"7","-12.996750","-38.465571","62","3550"
"7","-12.996961","-38.464970","63","3619"
"7","-12.997003","-38.464700","64","3649"
"7","-12.997159","-38.464281","65","3698"
"7","-12.997327","-38.463874","66","3746"
"7","-12.997525","-38.463595","67","3783"
"7","-12.997787","-38.463166","68","3838"
"7","-12.997922","-38.462865","69","3874"
"7","-12.998226","-38.462436","70","3932"
"7","-12.998890","-38.461423","71","4064"
"7","-12.999371","-38.460676","72","4161"
"7","-13.000265","-38.459850","73","4295"
"7","-13.000296","-38.459625","74","4320"
"7","-13.000191","-38.459477","75","4340"
"8","-13.000233","-38.459493","1","0"
"8","-13.000065","-38.459386","2","22"
"8","-12.999839","-38.459695","3","64"
"8","-12.999671","-38.459973","4","99"
"8","-12.999490","-38.460290","5","139"
"8","-12.999273","-38.460607","6","181"
"8","-12.999119","-38.460832","7","211"
"8","-12.998976","-38.461086","8","243"
"8","-12.998811","-38.461370","9","279"
"8","-12.998595","-38.461714","10","323"
"8","-12.998446","-38.461961","11","355"
"8","-12.998320","-38.462191","12","384"
"8","-12.998213","-38.462392","13","409"
"8","-12.998065","-38.462622","14","439"
"8","-12.997866","-38.462942","15","480"
"8","-12.997647","-38.463296","16","525"
"8","-12.997451","-38.463507","17","557"
"8","-12.997231","-38.463811","18","598"
"8","-12.997064","-38.464098","19","634"
"8","-12.996970","-38.464326","20","661"
"8","-12.996857","-38.464653","21","699"
"8","-12.996692","-38.465133","22","754"
"8","-12.996606","-38.465428","23","787"
"8","-12.996520","-38.465729","24","821"
"8","-12.996431","-38.466171","25","870"
"8","-12.996362","-38.466521","26","909"
"8","-12.996315","-38.466886","27","949"
"8","-12.996253","-38.467363","28","1001"
"8","-12.996216","-38.467739","29","1042"
"8","-12.996212","-38.468167","30","1088"
"8","-12.996181","-38.468617","31","1137"
"8","-12.996165","-38.469052","32","1184"
"8","-12.996155","-38.469529","33","1236"
"8","-12.996123","-38.470071","34","1295"
"8","-12.996102","-38.470495","35","1341"
"8","-12.996061","-38.471037","36","1400"
"8","-12.996082","-38.471350","37","1434"
"8","-12.996035","-38.471784","38","1481"
"8","-12.995982","-38.472396","39","1548"
