trip_id,arrival_time,departure_time,stop_id,stop_sequence
124183,"06:00:00","06:00:00",3,"1"
124183,"","",4,"25"
124183,"","",5,"44"
124183,"","",6,"74"
124183,"","",7,"89"
124183,"06:11:00","06:11:00",15,"115"
124184,"06:06:00","06:06:00",3,"1"
124184,"","",4,"25"
124184,"","",5,"44"
124184,"","",6,"74"
124184,"","",7,"89"
124184,"06:17:00","06:17:00",15,"115"
124185,"06:11:00","06:11:00",3,"1"
124185,"","",4,"25"
124185,"","",5,"44"
124185,"","",6,"74"
124185,"","",7,"89"
124185,"06:22:00","06:22:00",15,"115"
124186,"06:17:00","06:17:00",3,"1"
124186,"","",4,"25"
124186,"","",5,"44"
124186,"","",6,"74"
124186,"","",7,"89"
124186,"06:28:00","06:28:00",15,"115"
124187,"06:22:00","06:22:00",3,"1"
124187,"","",4,"25"
124187,"","",5,"44"
124187,"","",6,"74"
124187,"","",7,"89"
124187,"06:33:00","06:33:00",15,"115"
124188,"06:28:00","06:28:00",3,"1"
124188,"","",4,"25"
124188,"","",5,"44"
124188,"","",6,"74"
124188,"","",7,"89"
124188,"06:39:00","06:39:00",15,"115"
124189,"06:30:00","06:30:00",3,"1"
124189,"","",4,"25"
124189,"","",5,"44"
124189,"","",6,"74"
124189,"","",7,"89"
124189,"06:41:00","06:41:00",15,"115"
124190,"06:34:00","06:34:00",3,"1"
124190,"","",4,"25"
124190,"","",5,"44"
124190,"","",6,"74"
124190,"","",7,"89"
124190,"06:45:00","06:45:00",15,"115"
124191,"06:36:00","06:36:00",3,"1"
124191,"","",4,"25"
124191,"","",5,"44"
124191,"","",6,"74"
124191,"","",7,"89"
124191,"06:47:00","06:47:00",15,"115"
124192,"06:40:00","06:40:00",3,"1"
124192,"","",4,"25"
124192,"","",5,"44"
124192,"","",6,"74"
124192,"","",7,"89"
124192,"06:51:00","06:51:00",15,"115"
124193,"06:42:00","06:42:00",3,"1"
124193,"","",4,"25"
124193,"","",5,"44"
124193,"","",6,"74"
124193,"","",7,"89"
124193,"06:53:00","06:53:00",15,"115"
124194,"06:45:00","06:45:00",3,"1"
124194,"","",4,"25"
124194,"","",5,"44"
124194,"","",6,"74"
124194,"","",7,"89"
124194,"06:56:00","06:56:00",15,"115"
124195,"06:47:00","06:47:00",3,"1"
124195,"","",4,"25"
124195,"","",5,"44"
124195,"","",6,"74"
124195,"","",7,"89"
124195,"06:58:00","06:58:00",15,"115"
124196,"06:51:00","06:51:00",3,"1"
124196,"","",4,"25"
124196,"","",5,"44"
124196,"","",6,"74"
124196,"","",7,"89"
124196,"07:02:00","07:02:00",15,"115"
124197,"06:53:00","06:53:00",3,"1"
124197,"","",4,"25"
124197,"","",5,"44"
124197,"","",6,"74"
124197,"","",7,"89"
124197,"07:04:00","07:04:00",15,"115"
124198,"06:57:00","06:57:00",3,"1"
124198,"","",4,"25"
124198,"","",5,"44"
124198,"","",6,"74"
124198,"","",7,"89"
124198,"07:08:00","07:08:00",15,"115"
124199,"06:59:00","06:59:00",3,"1"
124199,"","",4,"25"
124199,"","",5,"44"
124199,"","",6,"74"
124199,"","",7,"89"
124199,"07:10:00","07:10:00",15,"115"
124200,"07:02:00","07:02:00",3,"1"
124200,"","",4,"25"
124200,"","",5,"44"
124200,"","",6,"74"
124200,"","",7,"89"
124200,"07:14:00","07:14:00",15,"115"
124201,"07:04:00","07:04:00",3,"1"
124201,"","",4,"25"
124201,"","",5,"44"
124201,"","",6,"74"
124201,"","",7,"89"
124201,"07:16:00","07:16:00",15,"115"
124202,"07:07:00","07:07:00",3,"1"
124202,"","",4,"25"
124202,"","",5,"44"
124202,"","",6,"74"
124202,"","",7,"89"
124202,"07:19:00","07:19:00",15,"115"
124203,"07:08:00","07:08:00",3,"1"
124203,"","",4,"25"
124203,"","",5,"44"
124203,"","",6,"74"
124203,"","",7,"89"
124203,"07:20:00","07:20:00",15,"115"
124204,"07:10:00","07:10:00",3,"1"
124204,"","",4,"25"
124204,"","",5,"44"
124204,"","",6,"74"
124204,"","",7,"89"
124204,"07:22:00","07:22:00",15,"115"
124205,"07:13:00","07:13:00",3,"1"
124205,"","",4,"25"
124205,"","",5,"44"
124205,"","",6,"74"
124205,"","",7,"89"
124205,"07:25:00","07:25:00",15,"115"
124206,"07:14:00","07:14:00",3,"1"
124206,"","",4,"25"
124206,"","",5,"44"
124206,"","",6,"74"
124206,"","",7,"89"
124206,"07:26:00","07:26:00",15,"115"
124207,"07:16:00","07:16:00",3,"1"
124207,"","",4,"25"
124207,"","",5,"44"
124207,"","",6,"74"
124207,"","",7,"89"
124207,"07:28:00","07:28:00",15,"115"
124208,"07:19:00","07:19:00",3,"1"
124208,"","",4,"25"
124208,"","",5,"44"
124208,"","",6,"74"
124208,"","",7,"89"
124208,"07:31:00","07:31:00",15,"115"
124209,"07:20:00","07:20:00",3,"1"
124209,"","",4,"25"
124209,"","",5,"44"
124209,"","",6,"74"
124209,"","",7,"89"
124209,"07:32:00","07:32:00",15,"115"
124210,"07:23:00","07:23:00",3,"1"
124210,"","",4,"25"
124210,"","",5,"44"
124210,"","",6,"74"
124210,"","",7,"89"
124210,"07:35:00","07:35:00",15,"115"
124211,"07:25:00","07:25:00",3,"1"
124211,"","",4,"25"
124211,"","",5,"44"
124211,"","",6,"74"
124211,"","",7,"89"
124211,"07:37:00","07:37:00",15,"115"
124212,"07:28:00","07:28:00",3,"1"
124212,"","",4,"25"
124212,"","",5,"44"
124212,"","",6,"74"
124212,"","",7,"89"
124212,"07:40:00","07:40:00",15,"115"
124213,"07:29:00","07:29:00",3,"1"
124213,"","",4,"25"
124213,"","",5,"44"
124213,"","",6,"74"
124213,"","",7,"89"
124213,"07:41:00","07:41:00",15,"115"
124214,"07:32:00","07:32:00",3,"1"
124214,"","",4,"25"
124214,"","",5,"44"
124214,"","",6,"74"
124214,"","",7,"89"
124214,"07:44:00","07:44:00",15,"115"
124215,"07:34:00","07:34:00",3,"1"
124215,"","",4,"25"
124215,"","",5,"44"
124215,"","",6,"74"
124215,"","",7,"89"
124215,"07:46:00","07:46:00",15,"115"
124216,"07:37:00","07:37:00",3,"1"
124216,"","",4,"25"
124216,"","",5,"44"
124216,"","",6,"74"
124216,"","",7,"89"
124216,"07:49:00","07:49:00",15,"115"
124217,"07:38:00","07:38:00",3,"1"
124217,"","",4,"25"
124217,"","",5,"44"
124217,"","",6,"74"
124217,"","",7,"89"
124217,"07:50:00","07:50:00",15,"115"
124218,"07:41:00","07:41:00",3,"1"
124218,"","",4,"25"
124218,"","",5,"44"
124218,"","",6,"74"
124218,"","",7,"89"
124218,"07:53:00","07:53:00",15,"115"
124219,"07:43:00","07:43:00",3,"1"
124219,"","",4,"25"
