EQU_NUM_SERIE,EQU_COD_EQUIPAMENTO,ESTACAO,DATA_INSTALACAO,DATA_DESINSTALACAO,GATE,NOME_ESTACAO
59726,201303,AGC,20/10/2023,,1,ESTAÇÃO ÁGUAS CLARAS
58251,201287,AGC,20/10/2023,,2,ESTAÇÃO ÁGUAS CLARAS
59798,201277,AGC,20/10/2023,,3,ESTAÇÃO ÁGUAS CLARAS
58335,201283,AGC,20/10/2023,,4,ESTAÇÃO ÁGUAS CLARAS
59554,201280,AGC,25/10/2023,,5,ESTAÇÃO ÁGUAS CLARAS
47291,201302,AGC,20/10/2023,,6,ESTAÇÃO ÁGUAS CLARAS
57518,201276,AGC,20/10/2023,,7,ESTAÇÃO ÁGUAS CLARAS
48847,201334,AGC,20/10/2023,,8,ESTAÇÃO ÁGUAS CLARAS
58249,201304,AGC,20/10/2023,,9,ESTAÇÃO ÁGUAS CLARAS
59824,200893,AGC,25/01/2024 11:34:00,,10,ESTAÇÃO ÁGUAS CLARAS
59089,201294,AGC,20/10/2023,,11,ESTAÇÃO ÁGUAS CLARAS
58308,201298,AGC,20/10/2023,,12,ESTAÇÃO ÁGUAS CLARAS
58309,201278,AGC,25/10/2023 11:11:00,,13,ESTAÇÃO ÁGUAS CLARAS
59805,201281,AGC,20/10/2023,,14,ESTAÇÃO ÁGUAS CLARAS
59558,201282,AGC,20/10/2023,,15,ESTAÇÃO ÁGUAS CLARAS
59678,201284,AGC,20/10/2023,,16,ESTAÇÃO ÁGUAS CLARAS
58374,201296,AGC,20/10/2023,,17,ESTAÇÃO ÁGUAS CLARAS
57712,201279,AGC,20/10/2023,,18,ESTAÇÃO ÁGUAS CLARAS
59350,201285,AGC,20/10/2023,,19,ESTAÇÃO ÁGUAS CLARAS
58260,201290,AGC,20/10/2023,,20,ESTAÇÃO ÁGUAS CLARAS
59657,201286,AGC,20/10/2023,,21,ESTAÇÃO ÁGUAS CLARAS
59629,200852,ANR,26/07/2022 17:16:00,,1,ESTAÇÃO ACESSO NORTE
59481,200881,ANR,26/07/2022 16:36:00,,2,ESTAÇÃO ACESSO NORTE
59404,200896,ANR,26/07/2022 15:51:00,,3,ESTAÇÃO ACESSO NORTE
41566,200415,ANR,04/10/2023 09:57:00,,4,ESTAÇÃO ACESSO NORTE
59668,200911,ANR,25/05/2022 10:52:00,,5,ESTAÇÃO ACESSO NORTE
58375,200912,ANR,25/05/2022 10:52:00,,6,ESTAÇÃO ACESSO NORTE
59791,200866,ANR,26/07/2022 11:52:00,,7,ESTAÇÃO ACESSO NORTE
58794,200856,ANR,26/12/2023 14:51:00,,8,ESTAÇÃO ACESSO NORTE
52474,201233,ANR,19/04/2024 07:02:00,,9,ESTAÇÃO ACESSO NORTE
59765,200867,ANR,26/07/2022 09:37:00,,10,ESTAÇÃO ACESSO NORTE
59793,200869,ANR,26/07/2022 09:37:00,,11,ESTAÇÃO ACESSO NORTE
58807,200836,ANR,26/07/2022 09:37:00,,12,ESTAÇÃO ACESSO NORTE
58038,200845,ANR,26/07/2022 09:37:00,,14,ESTAÇÃO ACESSO NORTE
58853,200976,ARP,02/08/2022 10:31:00,,1,ESTAÇÃO AEROPORTO
58806,200844,ARP,09/06/2022 15:09:00,,2,ESTAÇÃO AEROPORTO
59427,200884,ARP,02/08/2022 09:55:00,,3,ESTAÇÃO AEROPORTO
58001,200978,ARP,02/08/2022 10:21:00,,4,ESTAÇÃO AEROPORTO
59794,200987,ARP,02/08/2022 14:46:00,,5,ESTAÇÃO AEROPORTO
