latitude,longitude,name,type
-12.973049,-38.454253,29179670,School
-12.954214,-38.437683,29181283,School
-12.965289,-38.464399,29181291,School
-12.971366,-38.461385,29185262,School
-12.973354,-38.454936,29194288,School
-12.968815,-38.463173,29192838,School
-12.967489,-38.456957,29193400,School
-12.973338,-38.468017,29193702,School
-12.950388,-38.465307,29198852,School
-12.947527,-38.468693,29194563,School
-12.94968,-38.465203,29336392,School
-12.973338,-38.467802,29192366,School
-12.930712,-38.442751,29184096,School
-12.949976,-38.459351,29189128,School
-12.944191,-38.462144,29194113,School
-12.948379,-38.441154,29194326,School
-12.936924,-38.436764,29194253,School
-12.931674,-38.468137,29194334,School
-12.95006,-38.460428,29194156,School
-12.938175,-38.461049,29186366,School
-12.933403,-38.459293,29186161,School
-12.941898,-38.454492,29187389,School
-12.931579,-38.468354,29193290,School
-12.942889,-38.438435,29194881,School
-12.951387,-38.439566,29336651,School
-12.936561,-38.432335,29404614,School
-12.943946,-38.451928,29425832,School
-12.933327,-38.464626,29404398,School
-12.965024,-38.47409,29189292,School
-12.94602,-38.447497,29404444,School
-12.940056,-38.451135,29434386,School
-12.931133,-38.440499,29434378,School
-12.956826,-38.442897,29192269,School
-12.934299,-38.447541,29195535,School
-12.936033,-38.435184,29190215,School
-12.966549,-38.463048,29434416,School
-12.941392,-38.453209,29443431,School
-12.95829,-38.454886,29344433,School
-12.930233,-38.442689,29411505,School
-12.965658,-38.464278,29412250,School
-12.957847,-38.442201,29344760,School
-12.930183,-38.461573,29994756,School
-12.941172,-38.443063,29190274,School
-12.958003,-38.455002,29190975,School
-12.963177,-38.460068,29182069,School
-12.932597,-38.456834,29468540,School
-12.934046,-38.439316,29468558,School
-12.971282,-38.471333,29470420,School
-12.915592,-38.425337,29194466,School
-12.9238005,-38.4217496,29186340,School
-12.9253452,-38.4198754,29190258,School
-12.913739,-38.423988,29384532,School
-12.9086971,-38.3923901,29189977,School
-12.866668,-38.423809,29194202,School
-12.882334,-38.40735,29194210,School
-12.8976136,-38.4379262,29194130,School
-12.866822,-38.423892,29193664,School
-12.8991056,-38.4008751,29194385,School
-12.8959975,-38.4278085,29382718,School
-12.8826071,-38.406274,29193575,School
-12.8658366,-38.4353126,29336511,School
-12.9048903,-38.3907652,29384630,School
-12.88836,-38.404816,29384605,School
-12.8878636,-38.4269464,29384761,School
-12.9158046,-38.459425,29195829,School
-12.894152,-38.442328,29192358,School
-12.859645,-38.421301,29193010,School
-12.870431,-38.43507,29425883,School
-12.8939353,-38.4337019,29432049,School
-12.903538,-38.3950461,29192072,School
-12.9160853,-38.4106412,29188938,School
-12.917371,-38.4134187,29192927,School
-12.890351,-38.437529,29191726,School
-12.8923206,-38.3936631,29336538,School
-12.8923901,-38.4075929,29357764,School
-12.867663,-38.431351,29187117,School
-12.9014722,-38.4137147,29438365,School
-12.852278,-38.440455,29438381,School
-12.8725518,-38.4361815,29438357,School
-12.885112,-38.416012,29445981,School
-12.8627255,-38.440107,29474604,School
-12.9180052,-38.4213993,29447445,School
-12.9020804,-38.4205844,29447615,School
-12.888118,-38.435049,29411521,School
-12.890524,-38.409299,29411530,School
-12.8983003,-38.413202,29344794,School
-12.897882,-38.406534,29344859,School
-12.9130787,-38.3917459,29399335,School
-12.895095,-38.421362,29358043,School
-12.929803,-38.408353,29456274,School
-12.8984904,-38.413765,29468566,School
-12.891887,-38.410046,29468574,School
-12.924039,-38.411688,29470382,School
-12.902342,-38.396743,29470412,School
-12.926975,-38.414035,29472792,School
-12.979602,-38.510023,29199069,School
-12.982063,-38.511665,29190460,School
-12.98304,-38.477092,29186277,School
-12.975945,-38.486753,29190592,School
-12.985415,-38.518924,29188172,School
-12.975673,-38.486209,29185912,School
-12.976448,-38.50872,29194490,School
-12.9846,-38.474907,29185793,School
-12.98733,-38.483548,29184665,School
-12.97718,-38.487944,29194954,School
-12.985181,-38.487749,29199050,School
-12.980975,-38.488873,29185858,School
-12.981716,-38.485138,29182824,School
-12.973003,-38.509161,29384540,School
-12.986671,-38.509989,29384613,School
-12.961705,-38.501219,29187478,School
-12.97059,-38.506039,29189900,School
-12.989807,-38.517689,29187966,School
-12.969463,-38.494911,29189470,School
-12.981667,-38.518864,29192200,School
-12.996292,-38.528807,29186811,School
-12.988349,-38.500842,29193745,School
-12.977977,-38.499517,29193648,School
-12.969251,-38.507781,29188741,School
-12.988424,-38.482005,29186650,School
-13.00837,-38.501537,29432170,School
-12.978016,-38.50662,29188121,School
-12.976987,-38.500696,29187702,School
-12.98885,-38.504029,29193257,School
-12.981313,-38.479036,29187176,School
-12.983091,-38.486623,29436796,School
-12.989513,-38.484811,29190681,School
-12.996392,-38.483344,29447623,School
-12.975656,-38.486886,29344522,School
-12.983762,-38.48679,29344719,School
-12.987468,-38.495741,29344620,School
-12.983204,-38.46735,29404975,School
-12.996477,-38.525123,29190509,School
-12.976714,-38.483391,29195900,School
-12.994171,-38.512079,29192846,School
