date,faixa,tempo_total
2024-04-01,5,816.0
2024-04-01,6,1433.9333333333334
2024-04-01,7,1589.7666666666667
2024-04-01,8,1175.25
2024-04-01,9,1160.0
2024-04-01,10,1435.3333333333333
2024-04-01,11,1127.747826
2024-04-01,12,1563.1666666666667
2024-04-01,13,1717.7777773333332
2024-04-01,14,1078.0
2024-04-01,15,1326.0
2024-04-01,16,1459.6666666666667
2024-04-01,17,1580.5
2024-04-01,18,1407.0
2024-04-01,19,1023.3333333333334
2024-04-01,20,1018.5
2024-04-01,21,629.3333333333334
2024-04-01,22,754.6666666666666
2024-04-01,23,354.0
2024-04-02,0,0.0
2024-04-02,5,457.1568623333333
2024-04-02,6,1311.5589423333333
2024-04-02,7,1179.428571
2024-04-02,8,986.9074073333334
2024-04-02,9,1471.066666
2024-04-02,10,1030.6666666666667
2024-04-02,11,1317.836405
2024-04-02,12,1101.2632166666667
2024-04-02,13,1052.1666666666667
2024-04-02,14,1017.5098026666667
2024-04-02,15,1405.75
2024-04-02,16,832.5344313333334
2024-04-02,17,1551.0928549999999
2024-04-02,18,1287.3333323333334
2024-04-02,19,1088.6842183333333
2024-04-02,20,856.263156
2024-04-02,21,671.3333333333334
2024-04-02,22,394.0
2024-04-02,23,338.0
2024-04-03,0,0.0
2024-04-03,5,685.0
2024-04-03,6,1204.3333333333333
2024-04-03,7,1522.0
2024-04-03,8,1679.4333333333334
2024-04-03,9,1488.0
2024-04-03,10,1336.4666666666667
2024-04-03,11,1700.3333333333333
2024-04-03,12,1430.0
2024-04-03,13,1438.6666666666667
2024-04-03,14,1475.6666666666667
2024-04-03,15,1372.6666666666667
2024-04-03,16,1142.1666666666667
2024-04-03,17,1297.8
2024-04-03,18,1510.0
2024-04-03,19,1002.3333333333334
2024-04-03,20,1024.0
2024-04-03,21,563.6666666666666
2024-04-03,22,469.6666666666667
2024-04-03,23,372.0
2024-04-04,0,0.0
2024-04-04,5,1352.469046
2024-04-04,6,2668.287484
2024-04-04,7,5523.628434166667
2024-04-04,8,4352.611105
2024-04-04,9,5266.230425504762
2024-04-04,10,1723.5209515000001
2024-04-04,11,2474.6666666666665
2024-04-04,12,2722.6666666666665
2024-04-04,13,2720.5
2024-04-04,14,2491.1666666666665
2024-04-04,15,2430.8
2024-04-04,16,3073.0
2024-04-04,17,3192.0
2024-04-04,18,1844.9333333333334
2024-04-04,19,1252.2666666666667
2024-04-04,20,965.6666666666666
2024-04-04,21,751.6666666666666
2024-04-04,22,757.0
2024-04-04,23,389.0
2024-04-05,0,0.0
2024-04-05,5,775.6666666666666
2024-04-05,6,1156.3333333333333
2024-04-05,7,1380.1999998666665
2024-04-05,8,1268.0666666666666
2024-04-05,9,2252.3333333333335
2024-04-05,10,1271.1666666666667
2024-04-05,11,2188.8333333333335
2024-04-05,12,1671.0
2024-04-05,13,1391.3333333333333
2024-04-05,14,2576.1666666666665
2024-04-05,15,1238.3333333333333
2024-04-05,16,1235.5
2024-04-05,17,1446.8
2024-04-05,18,1358.1666666666667
2024-04-05,19,1100.0
2024-04-05,20,983.0
2024-04-05,21,833.0
2024-04-05,22,735.5
2024-04-05,23,444.0
