Epochs,loss
1,34037.8828125
2,33830.6640625
3,33806.7421875
4,33807.2734375
5,33805.28125
6,33805.1328125
7,33809.89453125
8,33824.11328125
9,33815.1796875
10,33812.9140625
11,33808.84375
12,33809.8125
13,33810.3515625
14,33811.453125
15,33810.3515625
16,33811.6875
17,33810.0703125
18,33808.2265625
19,33808.2109375
20,33808.15625
21,33808.4765625
22,33807.79296875
23,33807.10546875
24,33807.42578125
25,33807.42578125
26,33807.42578125
27,33807.42578125
28,33807.42578125
29,33807.42578125
30,33807.42578125
31,33807.42578125
32,33807.42578125
33,33807.42578125
34,33807.42578125
35,33807.42578125
36,33807.42578125
37,33807.42578125
38,33807.42578125
39,33807.42578125
40,33807.42578125
41,33807.42578125
42,33807.42578125
43,33807.42578125
44,33807.42578125
45,33807.42578125
46,33807.42578125
47,33807.42578125
48,33807.42578125
49,33807.42578125
50,33807.42578125
