Epochs,loss
1,33893.7421875
2,34027.234375
3,33805.40234375
4,33807.5859375
5,33807.484375
6,33807.421875
7,33807.37890625
8,33807.35546875
9,33807.34375
10,33807.33984375
11,33807.3359375
12,33807.3359375
13,33807.34375
14,33807.34765625
15,33807.3515625
16,33807.3515625
17,33807.35546875
18,33807.35546875
19,33807.35546875
20,33807.35546875
21,33807.3515625
22,33807.3515625
23,33807.3515625
24,33807.3515625
25,33807.3515625
26,33807.34765625
27,33807.34375
28,33807.3359375
29,33807.32421875
30,33807.3203125
31,33807.3046875
32,33807.2890625
33,33807.265625
34,33807.2421875
35,33807.203125
36,33807.15234375
37,33807.078125
38,33806.96875
39,33806.828125
40,33806.6328125
41,33806.4140625
42,33806.2109375
43,33805.640625
44,33806.296875
45,33805.55859375
46,33805.34375
47,33805.015625
48,33804.65625
49,33804.09375
50,33804.34765625
