Epochs,loss
1,29747.61328125
2,29979.8515625
3,29903.76171875
4,29656.576171875
5,29651.3359375
6,29650.873046875
7,29650.67578125
8,29650.5703125
9,29650.50390625
10,29650.45703125
11,29650.4296875
12,29650.408203125
13,29650.390625
14,29650.37890625
15,29650.3671875
16,29650.359375
17,29650.349609375
18,29650.34375
19,29650.33984375
20,29650.328125
21,29650.32421875
22,29650.31640625
23,29650.31640625
24,29650.3046875
25,29650.296875
26,29650.29296875
27,29650.287109375
28,29650.275390625
29,29650.267578125
30,29650.259765625
31,29650.25
32,29650.23828125
33,29650.2265625
34,29650.2109375
35,29650.19921875
36,29650.1796875
37,29650.162109375
38,29650.146484375
39,29650.12890625
40,29650.10546875
41,29650.080078125
42,29650.052734375
43,29650.0234375
44,29649.98828125
45,29649.95703125
46,29649.912109375
47,29649.87109375
48,29649.82421875
49,29649.78125
50,29649.736328125
