Epochs,loss
1,34037.828125
2,33805.6796875
3,33802.78125
4,33857.25390625
5,33806.765625
6,33807.2109375
7,33807.35546875
8,33807.40234375
9,33807.4140625
10,33807.421875
11,33807.42578125
12,33807.42578125
13,33807.42578125
14,33807.42578125
15,33807.42578125
16,33807.42578125
17,33807.42578125
18,33807.42578125
19,33807.42578125
20,33807.42578125
21,33807.42578125
22,33807.42578125
23,33807.42578125
24,33807.42578125
25,33807.42578125
26,33807.42578125
27,33807.42578125
28,33807.42578125
29,33807.42578125
30,33807.42578125
31,33807.42578125
32,33807.42578125
33,33807.42578125
34,33807.42578125
35,33807.42578125
36,33807.42578125
37,33807.42578125
38,33807.42578125
39,33807.42578125
40,33807.42578125
41,33807.42578125
42,33807.42578125
43,33807.42578125
44,33807.42578125
45,33807.42578125
46,33807.42578125
47,33807.42578125
48,33807.42578125
49,33807.42578125
50,33807.42578125
