Epochs,loss
1,34047.2734375
2,34025.5234375
3,34007.6484375
4,33989.36328125
5,33972.28515625
6,33959.6328125
7,33946.328125
8,33932.8515625
9,33920.01953125
10,33906.484375
11,33891.390625
12,33872.71484375
13,33849.6875
14,33828.4140625
15,33810.4140625
16,33803.30859375
17,33795.22265625
18,33796.3203125
19,33796.76171875
20,33796.796875
21,33796.85546875
22,33797.19140625
23,33797.66796875
24,33798.015625
25,33798.0625
26,33797.921875
27,33797.84375
28,33797.8828125
29,33798.02734375
30,33798.22265625
31,33798.33984375
32,33798.3515625
33,33798.3046875
34,33798.2265625
35,33798.140625
36,33798.0546875
37,33797.96484375
38,33797.87890625
39,33797.7890625
40,33797.671875
41,33797.50390625
42,33797.3125
43,33797.15625
44,33797.03515625
45,33796.92578125
46,33796.79296875
47,33796.6484375
48,33796.5234375
49,33796.4296875
50,33796.34375
