Epochs,loss
1,34128.05078125
2,34299.375
3,34301.859375
4,34297.0546875
5,34306.5703125
6,34306.3203125
7,34307.25390625
8,34307.0703125
9,34306.92578125
10,34306.82421875
11,34306.75
12,34306.6953125
13,34306.65625
14,34306.62890625
15,34306.609375
16,34306.59375
17,34306.5859375
18,34306.578125
19,34306.5703125
20,34306.5703125
21,34306.5703125
22,34306.5625
23,34306.5625
24,34306.5625
25,34306.55859375
26,34306.5546875
27,34306.5546875
28,34306.5546875
29,34306.5546875
30,34306.5546875
31,34306.5546875
32,34306.5546875
33,34306.5546875
34,34306.5546875
35,34306.5546875
36,34306.5546875
37,34306.5546875
38,34306.5546875
39,34306.5546875
40,34306.5546875
41,34306.5546875
42,34306.5546875
43,34306.5546875
44,34306.5546875
45,34306.5546875
46,34306.5546875
47,34306.5546875
48,34306.5546875
49,34306.5546875
50,34306.5546875
