Epochs,loss
1,29817.359375
2,29657.744140625
3,29650.994140625
4,29650.65234375
5,29650.556640625
6,29650.49609375
7,29650.453125
8,29650.427734375
9,29650.408203125
10,29650.38671875
11,29650.375
12,29650.3671875
13,29650.35546875
14,29650.3515625
15,29650.34375
16,29650.3359375
17,29650.330078125
18,29650.32421875
19,29650.314453125
20,29650.310546875
21,29650.955078125
22,29652.400390625
23,29650.28515625
24,29650.296875
25,29650.3046875
26,29650.302734375
27,29650.30859375
28,29650.30859375
29,29650.30078125
30,29650.296875
31,29650.2890625
32,29650.2734375
33,29650.25390625
34,29650.23046875
35,29650.203125
36,29650.171875
37,29650.1484375
38,29650.13671875
39,29650.1328125
40,29650.1328125
41,29650.13671875
42,29649.986328125
43,29649.96875
44,29650.759765625
45,29649.94140625
46,29649.900390625
47,29649.896484375
48,29649.80078125
49,29649.498046875
50,29649.2890625
