Epochs,loss
1,29657.322265625
2,29724.322265625
3,29631.46484375
4,29646.19140625
5,29648.83984375
6,29628.296875
7,29614.4609375
8,29619.12109375
9,29622.09765625
10,29609.3828125
11,29604.6171875
12,29604.421875
13,29604.51171875
14,29602.642578125
15,29599.193359375
16,29596.21484375
17,29595.99609375
18,29595.82421875
19,29592.7109375
20,29589.04296875
21,29587.5
22,29587.525390625
23,29586.1640625
24,29583.607421875
25,29582.037109375
26,29581.16015625
27,29579.34765625
28,29577.498046875
29,29576.75390625
30,29575.734375
31,29573.65234375
32,29572.041015625
33,29571.115234375
34,29569.5546875
35,29568.171875
36,29567.00390625
37,29565.130859375
38,29564.044921875
39,29562.43359375
40,29560.861328125
41,29559.22265625
42,29557.759765625
43,29555.75
44,29554.3359375
45,29552.5625
46,29550.7890625
47,29549.482421875
48,29548.986328125
49,29549.3046875
50,29547.642578125
