Epochs,loss
1,29769.9765625
2,30043.1640625
3,29677.00390625
4,29650.02734375
5,29650.26953125
6,29650.3671875
7,29650.408203125
8,29650.43359375
9,29650.44140625
10,29650.451171875
11,29650.451171875
12,29650.44921875
13,29650.453125
14,29650.44921875
15,29650.4453125
16,29650.44140625
17,29650.435546875
18,29650.4296875
19,29650.431640625
20,29650.423828125
21,29650.421875
22,29650.419921875
23,29650.421875
24,29650.41796875
25,29650.4140625
26,29650.412109375
27,29650.41015625
28,29650.41015625
29,29650.4140625
30,29650.41015625
31,29650.412109375
32,29650.412109375
33,29650.41015625
34,29650.41015625
35,29650.41015625
36,29650.41015625
37,29650.41015625
38,29650.41015625
39,29650.41015625
40,29650.41015625
41,29650.41015625
42,29650.40625
43,29650.41015625
44,29650.41015625
45,29650.41015625
46,29650.41015625
47,29650.40625
48,29650.40625
49,29650.41015625
50,29650.41015625
