Epochs,loss
1,29877.9921875
2,29760.75390625
3,29697.87109375
4,29703.314453125
5,29682.515625
6,29671.751953125
7,29677.095703125
8,29674.470703125
9,29671.79296875
10,29662.89453125
11,29665.75390625
12,29661.875
13,29659.447265625
14,29654.625
15,29651.0
16,29648.544921875
17,29648.0625
18,29645.9140625
19,29645.140625
20,29647.98828125
21,29642.189453125
22,29643.07421875
23,29640.9140625
24,29642.0234375
25,29641.10546875
26,29636.9765625
27,29638.63671875
28,29636.88671875
29,29631.9140625
30,29634.341796875
31,29633.66015625
32,29632.416015625
33,29629.865234375
34,29632.693359375
35,29629.39453125
36,29623.001953125
37,29629.083984375
38,29635.125
39,29635.62109375
40,29633.375
41,29636.103515625
42,29632.96484375
43,29635.08203125
44,29634.591796875
45,29631.53515625
46,29634.78125
47,29633.302734375
48,29628.763671875
49,29626.75
50,29625.271484375
