Epochs,loss
1,30024.880859375
2,29746.41015625
3,29708.09765625
4,29701.259765625
5,29701.296875
6,29697.94921875
7,29689.54296875
8,29685.783203125
9,29681.837890625
10,29680.60546875
11,29676.6171875
12,29677.6640625
13,29677.921875
14,29674.384765625
15,29670.0234375
16,29668.07421875
17,29671.685546875
18,29668.837890625
19,29666.115234375
20,29665.232421875
21,29665.205078125
22,29661.447265625
23,29657.37890625
24,29653.771484375
25,29651.30859375
26,29648.65625
27,29648.08984375
28,29648.2734375
29,29646.8203125
30,29647.109375
31,29644.68359375
32,29644.60546875
33,29644.9140625
34,29644.328125
35,29644.12890625
36,29643.46484375
37,29641.44921875
38,29641.041015625
39,29639.296875
40,29647.4609375
41,29644.783203125
42,29642.73828125
43,29641.5625
44,29643.21484375
45,29644.0546875
46,29643.490234375
47,29643.51171875
48,29643.5234375
49,29643.568359375
50,29642.9296875
