Epochs,loss
1,29788.99609375
2,29981.61328125
3,29984.69921875
4,29978.369140625
5,29891.08984375
6,29650.265625
7,29650.484375
8,29650.30078125
9,29650.208984375
10,29650.140625
11,29650.09765625
12,29650.0546875
13,29650.02734375
14,29650.0
15,29649.984375
16,29649.96484375
17,29649.9453125
18,29649.93359375
19,29649.912109375
20,29649.875
21,29649.82421875
22,29649.875
23,29649.921875
24,29649.78515625
25,29649.66015625
26,29649.619140625
27,29649.62109375
28,29649.603515625
29,29649.564453125
30,29649.5234375
31,29649.5078125
32,29649.4921875
33,29649.47265625
34,29649.447265625
35,29649.419921875
36,29649.400390625
37,29649.36328125
38,29649.322265625
39,29649.2890625
40,29649.25390625
41,29649.21875
42,29649.185546875
43,29649.1484375
44,29649.111328125
45,29649.07421875
46,29649.03125
47,29649.01171875
48,29648.99609375
49,29648.96875
50,29648.96875
