Epochs,loss
1,33867.2265625
2,33808.171875
3,33807.0390625
4,33806.9609375
5,33806.9609375
6,33806.9765625
7,33806.9921875
8,33807.0
9,33807.01171875
10,33807.01953125
11,33807.0234375
12,33807.0234375
13,33807.01953125
14,33807.0078125
15,33806.9921875
16,33806.97265625
17,33806.9453125
18,33806.90625
19,33806.859375
20,33806.8046875
21,33806.7265625
22,33806.64453125
23,33806.5390625
24,33806.4140625
25,33806.2265625
26,33805.875
27,33805.5
28,33806.07421875
29,33807.08984375
30,33804.52734375
31,33803.234375
32,33803.23828125
33,33802.6484375
34,33803.8671875
35,33803.3046875
36,33799.65234375
37,33812.59375
38,33794.76953125
39,33799.625
40,33799.1796875
41,33796.01953125
42,33798.09375
43,33798.6953125
44,33797.54296875
45,33795.078125
46,33797.51953125
47,33799.96875
48,33799.6796875
49,33796.625
50,33793.6875
