Epochs,loss
1,29931.072265625
2,30068.76171875
3,30033.986328125
4,29892.73046875
5,29682.744140625
6,29657.443359375
7,29650.451171875
8,29650.48046875
9,29650.48046875
10,29650.470703125
11,29650.462890625
12,29650.453125
13,29650.44921875
14,29650.4453125
15,29650.4375
16,29650.43359375
17,29650.43359375
18,29650.427734375
19,29650.42578125
20,29650.421875
21,29650.41796875
22,29650.419921875
23,29650.41796875
24,29650.4140625
25,29650.41796875
26,29650.4140625
27,29650.4140625
28,29650.4140625
29,29650.416015625
30,29650.4140625
31,29650.4140625
32,29650.4140625
33,29650.412109375
34,29650.412109375
35,29650.412109375
36,29650.41015625
37,29650.41015625
38,29650.41015625
39,29650.41015625
40,29650.4140625
41,29650.4140625
42,29650.4140625
43,29650.4140625
44,29650.412109375
45,29650.412109375
46,29650.412109375
47,29650.412109375
48,29650.412109375
49,29650.412109375
50,29650.412109375
