Epochs,loss
1,2022.5271
2,1682.6412
3,1399.5278
4,1166.5549
5,978.1698
6,829.3002
7,715.0213
8,630.5283
9,571.1364
10,532.12366
11,508.72726
12,496.06055
13,489.38782
14,484.58783
15,478.64792
16,469.82523
17,457.55185
18,442.17133
19,424.54242
20,405.73123
21,386.74542
22,368.39
23,351.19815
24,335.48206
25,321.4052
26,309.00482
27,298.21768
28,288.91165
29,280.90405
30,273.94562
31,267.7547
32,262.04953
33,256.55533
34,251.04016
35,245.34853
36,239.43248
37,233.34683
38,227.2099
39,221.18683
40,215.44705
41,210.12376
42,205.29106
43,200.96063
44,197.08647
45,193.57965
46,190.33215
47,187.24348
48,184.22852
49,181.23416
50,178.23543
51,175.23483
52,172.25183
53,169.33601
54,166.53043
55,163.87709
56,161.37697
57,159.0219
58,156.8039
59,154.71425
60,152.73666
61,150.85583
62,149.05817
63,147.33215
64,145.6685
65,144.05782
66,142.4906
67,140.9642
68,139.4829
69,138.05312
70,136.67522
71,135.34142
72,134.04427
73,132.783
74,131.55678
75,130.36667
76,129.2137
77,128.09972
78,127.02503
79,125.9865
80,124.977585
81,123.99173
82,123.02625
83,122.08041
84,121.15213
85,120.239815
86,119.34565
87,118.4725
88,117.62074
89,116.78926
90,115.97701
91,115.18265
92,114.40521
93,113.6419
94,112.89133
95,112.1529
96,111.427086
97,110.713585
98,110.01251
99,109.3245
100,108.64989
101,107.9887
102,107.339874
103,106.70355
104,106.078545
105,105.464165
106,104.86087
107,104.268585
108,103.68663
109,103.11472
110,102.551895
111,101.99877
112,101.455635
113,100.92264
114,100.39946
115,99.885895
116,99.381165
117,98.885284
118,98.39784
119,97.91886
120,97.44813
121,96.98554
122,96.53125
123,96.08493
124,95.64687
125,95.21711
126,94.79529
127,94.381226
128,93.97471
129,93.575554
130,93.18386
131,92.799255
132,92.42187
133,92.051216
134,91.68738
135,91.330025
136,90.97908
137,90.6341
138,90.2945
139,89.96033
140,89.63164
141,89.30827
142,88.98998
143,88.676834
144,88.36815
145,88.064095
146,87.76468
147,87.469795
148,87.17957
149,86.894066
150,86.61328
151,86.33688
152,86.065
153,85.79732
154,85.53366
155,85.27402
156,85.01815
157,84.76649
158,84.518906
159,84.27509
160,84.035095
161,83.79879
162,83.56612
163,83.337006
164,83.11159
165,82.88976
166,82.67166
167,82.45709
168,82.24607
169,82.03848
170,81.83405
171,81.63287
172,81.43458
173,81.23917
174,81.04662
175,80.85704
176,80.670456
177,80.4864
178,80.304886
179,80.126
180,79.94953
181,79.775536
182,79.60405
183,79.43481
184,79.26764
185,79.10257
