Epochs,loss
1,1159.8235
2,1061.9319
3,979.32983
4,908.9354
5,842.90173
6,786.6064
7,740.56274
8,706.4664
9,681.1327
10,663.24603
11,651.2742
12,643.4966
13,638.3145
14,634.2017
15,629.8534
16,624.4588
17,617.7131
18,609.69824
19,600.8951
20,591.80316
21,582.84625
22,574.423
23,566.76764
24,559.97864
25,554.09424
26,549.0835
27,544.72534
28,540.93
29,537.5623
30,534.56213
31,531.8559
32,529.6109
33,527.7161
34,526.11926
35,524.7192
36,523.41656
37,522.1349
38,520.81683
39,519.4378
40,517.9962
41,516.51984
42,515.0445
43,513.6021
44,512.21606
45,510.89383
46,509.63007
47,508.4192
48,507.27084
49,506.17538
50,505.12982
51,504.1092
52,503.08768
53,502.07266
54,501.09467
55,500.18164
56,499.33783
57,498.54675
58,497.78946
59,497.05072
60,496.32693
61,495.61414
62,494.90332
63,494.18307
64,493.45197
65,492.72565
66,492.0188
67,491.35776
68,490.77063
69,490.23367
70,489.72433
71,489.21796
72,488.73007
73,488.25476
74,487.78555
75,487.33823
76,486.91003
77,486.48834
78,486.06613
79,485.65735
80,485.26855
81,484.89694
82,484.5467
83,484.21518
84,483.89395
85,483.5819
86,483.2815
87,482.98477
88,482.70422
89,482.4291
90,482.16086
91,481.89896
92,481.6447
93,481.40182
94,481.17105
95,480.94864
96,480.73825
97,480.53613
98,480.3362
99,480.1401
100,479.9528
101,479.76385
102,479.58426
103,479.41486
104,479.25494
105,479.0979
106,478.9449
107,478.79227
108,478.63925
109,478.49133
110,478.3518
111,478.21594
112,478.0822
113,477.94666
114,477.80652
115,477.67035
116,477.53897
117,477.41135
118,477.2851
119,477.1625
120,477.04822
121,476.94052
122,476.8335
123,476.73148
124,476.63272
125,476.53815
126,476.44656
127,476.35675
128,476.26953
129,476.18436
130,476.10263
131,476.0241
132,475.9481
133,475.87558
134,475.80518
135,475.7358
136,475.66794
137,475.60175
138,475.5374
139,475.47446
140,475.41278
141,475.3523
142,475.2927
143,475.23407
144,475.17645
145,475.1199
146,475.06436
147,475.00967
148,474.95572
149,474.90262
150,474.84988
151,474.79877
152,474.74832
153,474.69858
154,474.64948
155,474.60074
156,474.55286
157,474.50546
158,474.45837
159,474.41208
160,474.36633
161,474.3211
162,474.27695
163,474.23355
164,474.19022
165,474.14682
166,474.10342
167,474.0605
168,474.018
169,473.97598
170,473.9343
171,473.893
172,473.8517
173,473.81055
174,473.76956
175,473.72928
176,473.68927
177,473.64957
178,473.6105
179,473.5711
180,473.5318
181,473.49304
182,473.4542
183,473.41525
184,473.37674
185,473.33817
186,473.29996
187,473.26157
188,473.22336
189,473.1851
190,473.14655
191,473.10806
192,473.06906
193,473.0299
194,472.9905
195,472.95105
196,472.9114
197,472.87186
198,472.8325
199,472.79333
200,472.75424
201,472.71463
202,472.67487
203,472.63547
204,472.59607
205,472.5566
206,472.5173
207,472.4781
208,472.4399
209,472.4028
210,472.36658
211,472.33087
212,472.29565
213,472.2605
214,472.22504
215,472.18878
216,472.15186
217,472.11414
218,472.0762
219,472.03732
220,471.99936
221,471.9618
222,471.92404
223,471.8864
224,471.84933
225,471.81128
226,471.7709
227,471.72998
228,471.68613
229,471.64233
230,471.6006
231,471.56067
232,471.51373
233,471.46667
234,471.42868
235,471.39053
236,471.34366
237,471.30365
238,471.26248
239,471.22443
240,471.18857
241,471.15497
242,471.1187
243,471.07855
244,471.03842
245,471.001
246,470.96402
247,470.92667
248,470.891
249,470.85623
250,470.82025
251,470.7838
252,470.7485
253,470.71393
254,470.67896
255,470.64392
256,470.60965
257,470.57504
258,470.54053
259,470.50626
260,470.47192
261,470.4377
262,470.40375
263,470.3694
264,470.33502
265,470.30057
266,470.2657
267,470.23105
268,470.19678
269,470.16428
270,470.13412
271,470.10672
272,470.07986
273,470.04813
274,470.01266
275,469.9841
276,469.95956
277,469.9283
278,469.89432
279,469.86575
280,469.83878
281,469.80798
282,469.77563
283,469.74597
284,469.71872
285,469.69006
286,469.65884
287,469.6281
288,469.59982
289,469.57236
290,469.54373
291,469.51395
292,469.48413
293,469.45535
294,469.42786
295,469.40042
296,469.37253
297,469.34424
298,469.31583
299,469.2877
300,469.26013
301,469.23328
302,469.2068
303,469.18057
304,469.15414
305,469.12747
306,469.10062
307,469.0739
308,469.04715
309,469.0205
310,468.99435
311,468.96857
312,468.943
313,468.91733
314,468.89273
315,468.86917
316,468.84668
317,468.8267
318,468.8104
319,468.7891
320,468.75845
321,468.72116
322,468.69348
323,468.67767
324,468.66174
325,468.6365
326,468.60406
327,468.5768
328,468.5584
329,468.54077
330,468.51675
331,468.4888
332,468.46463
333,468.44623
334,468.42688
335,468.4021
336,468.37622
337,468.35297
338,468.3343
339,468.3153
340,468.29398
341,468.26968
342,468.24347
343,468.22113
344,468.20053
345,468.17767
346,468.15057
347,468.11398
348,468.0799
349,468.06284
350,468.04547
351,468.023
352,467.99973
353,467.9786
354,467.9613
355,467.9392
356,467.91467
357,467.89365
358,467.87488
359,467.85345
360,467.8309
361,467.81088
362,467.79263
363,467.77225
364,467.75156
365,467.7328
366,467.71637
367,467.7012
368,467.6939
369,467.70084
370,467.71133
371,467.70422
372,467.63925
373,467.58032
374,467.57892
375,467.59296
376,467.56973
377,467.51752
378,467.4982
379,467.5057
380,467.48578
381,467.4439
382,467.42368
383,467.41873
384,467.40216
385,467.37482
386,467.34857
387,467.33603
388,467.32663
389,467.3052
390,467.28046
391,467.2654
392,467.2539
393,467.23972
394,467.2199
395,467.20007
396,467.18695
397,467.17508
398,467.15958
399,467.14114
400,467.12262
401,467.10785
402,467.0948
403,467.07977
404,467.06287
405,467.0457
406,467.02997
407,467.0159
408,467.0027
409,466.98813
410,466.97226
411,466.9562
412,466.9402
413,466.92538
414,466.9114
415,466.89725
416,466.88275
417,466.8679
418,466.85284
419,466.83783
420,466.8234
421,466.8094
422,466.79556
423,466.7819
424,466.76788
425,466.7534
426,466.73932
427,466.72528
428,466.7114
429,466.69812
430,466.68542
431,466.6738
432,466.66342
433,466.65646
434,466.65213
435,466.65244
436,466.64996
437,466.64114
438,466.61234
439,466.57584
440,466.5462
441,466.53436
442,466.5352
443,466.53397
444,466.52176
445,466.49567
446,466.46982
447,466.45425
448,466.44855
449,466.44452
450,466.43295
451,466.41373
452,466.39307
453,466.37732
454,466.36768
455,466.36
456,466.35004
457,466.3356
458,466.3191
459,466.30258
460,466.28836
461,466.27686
462,466.26672
463,466.25656
464,466.24518
465,466.23248
466,466.21826
467,466.20392
468,466.18988
469,466.17642
470,466.16376
471,466.15146
472,466.13983
473,466.1281
474,466.11673
475,466.10574
476,466.095
477,466.08453
478,466.07443
479,466.06476
480,466.05573
481,466.04684
482,466.0394
483,466.03146
484,466.02402
485,466.01376
486,466.00192
487,465.9847
488,465.96576
489,465.94562
490,465.9283
491,465.91446
492,465.90454
493,465.89697
494,465.89062
495,465.88474
496,465.8763
497,465.86557
498,465.85104
499,465.835
500,465.8176
