Epochs,loss
1,1142.3191
2,1055.5674
3,976.77966
4,905.1424
5,840.0623
6,781.1604
7,728.20514
8,681.091
9,639.77075
10,604.19104
11,574.23926
12,549.7182
13,530.2733
14,515.31793
15,504.04764
16,495.52368
17,488.73938
18,482.80176
19,477.0242
20,470.98654
21,464.46674
22,457.4174
23,449.91937
24,442.13794
25,434.27234
26,426.50113
27,418.9553
28,411.68582
29,404.72208
30,398.05426
31,391.66757
32,385.55554
33,379.73633
34,374.24554
35,369.09818
36,364.2608
37,359.71783
38,355.4378
39,351.35855
40,347.45804
41,343.7606
42,340.31418
43,337.1195
44,334.0911
45,331.16367
46,328.3365
47,325.63705
48,323.06888
49,320.6113
50,318.24695
51,315.96512
52,313.7561
53,311.6073
54,309.511
55,307.45773
56,305.44934
57,303.48297
58,301.5609
59,299.68423
60,297.89722
61,296.26517
62,294.78653
63,293.40585
64,292.10892
65,290.88477
66,289.72192
67,288.6199
68,287.59076
69,286.62662
70,285.71158
71,284.8358
72,283.9882
73,283.15048
74,282.3254
75,281.5115
76,280.70178
77,279.8948
78,279.09564
79,278.3058
80,277.5364
81,276.78845
82,276.0635
83,275.36118
84,274.6872
85,274.0408
86,273.4281
87,272.8463
88,272.29147
89,271.7574
90,271.2414
91,270.7408
92,270.25668
93,269.78983
94,269.34085
95,268.9122
96,268.50287
97,268.11194
98,267.73917
99,267.38306
100,267.04364
101,266.7186
102,266.40704
103,266.1086
104,265.8221
105,265.54642
106,265.28027
107,265.02548
108,264.78024
109,264.54532
110,264.31784
111,264.09705
112,263.88
113,263.67007
114,263.46942
115,263.27542
116,263.08676
117,262.9035
118,262.72586
119,262.5511
120,262.37933
121,262.2119
122,262.04764
123,261.8875
124,261.73022
125,261.57657
126,261.43063
127,261.29245
128,261.15848
129,261.02957
130,260.9034
131,260.77942
132,260.65765
133,260.5379
134,260.41995
135,260.30423
136,260.19077
137,260.07895
138,259.9689
139,259.86053
140,259.75403
141,259.64914
142,259.54596
143,259.44406
144,259.34354
145,259.24573
146,259.1499
147,259.05536
148,258.96252
149,258.87097
150,258.7807
151,258.69135
152,258.60275
153,258.51523
154,258.42868
155,258.34326
156,258.25897
157,258.1756
158,258.0932
159,258.01163
160,257.9306
161,257.8503
162,257.7707
163,257.6918
164,257.61368
165,257.53616
166,257.45926
167,257.383
168,257.3074
169,257.23227
170,257.1575
171,257.08316
172,257.0092
173,256.93536
174,256.86176
175,256.78848
176,256.71555
177,256.64285
178,256.5702
179,256.498
180,256.42624
181,256.35492
182,256.28397
183,256.2136
184,256.1434
185,256.07352
186,256.0038
187,255.93446
188,255.8654
189,255.79681
190,255.72852
191,255.66032
192,255.59229
193,255.52448
194,255.45667
195,255.38902
196,255.32152
197,255.25423
198,255.18704
199,255.1198
200,255.05263
201,254.98564
202,254.91872
203,254.85217
204,254.7863
205,254.721
206,254.65683
207,254.59415
208,254.53235
209,254.47108
210,254.4068
211,254.33752
212,254.26819
213,254.20436
214,254.14609
215,254.08841
216,254.02695
217,253.96182
218,253.89763
219,253.83704
220,253.77916
221,253.72054
222,253.6597
223,253.59752
224,253.53581
225,253.47523
226,253.41469
227,253.35733
228,253.29335
229,253.23184
230,253.17133
231,253.10957
232,253.05095
233,252.9927
234,252.93275
235,252.87471
236,252.81537
237,252.7554
238,252.69707
239,252.63913
240,252.58057
241,252.5233
242,252.46677
243,252.4103
244,252.35452
245,252.29984
246,252.24544
247,252.19212
248,252.14088
249,252.09001
250,252.0387
251,251.98532
252,251.92757
253,251.86751
254,251.8096
255,251.7567
256,251.70792
257,251.65996
258,251.61029
259,251.55843
260,251.50462
261,251.45097
262,251.39964
263,251.35078
264,251.30325
265,251.25641
266,251.20921
267,251.16093
268,251.11162
269,251.06195
270,251.01279
271,250.96436
272,250.91728
273,250.87112
274,250.82545
275,250.78027
276,250.735
277,250.68994
278,250.64479
279,250.59984
280,250.55489
281,250.51068
282,250.46654
283,250.42268
284,250.37859
285,250.33485
286,250.29085
287,250.24716
288,250.20378
289,250.16058
290,250.11768
291,250.07497
292,250.03258
293,249.99078
294,249.94934
295,249.90863
296,249.86848
297,249.82939
298,249.7913
299,249.7555
300,249.72168
301,249.68991
302,249.65688
303,249.61848
304,249.57118
305,249.51813
306,249.46852
307,249.42926
308,249.39856
309,249.36905
310,249.33333
311,249.28981
312,249.2434
313,249.20215
314,249.16783
315,249.13643
316,249.10294
317,249.06439
318,249.02278
319,248.98228
320,248.94583
321,248.91246
322,248.87997
323,248.84605
324,248.81
325,248.77289
326,248.73607
327,248.70016
328,248.66608
329,248.63316
330,248.60097
331,248.56856
332,248.53577
333,248.50238
334,248.46875
335,248.43535
336,248.40211
337,248.36905
338,248.33643
339,248.30414
340,248.2718
341,248.24
342,248.2085
343,248.17715
344,248.14606
345,248.11504
346,248.0843
347,248.054
348,248.02461
349,247.99632
350,247.96985
351,247.94649
352,247.92946
353,247.92242
354,247.92584
355,247.92564
356,247.88724
357,247.80722
358,247.73552
359,247.71944
360,247.72984
361,247.70807
362,247.64812
363,247.60042
364,247.59145
365,247.58531
366,247.54889
367,247.5016
368,247.47702
369,247.46786
370,247.44453
371,247.40567
372,247.37465
373,247.35892
374,247.34134
375,247.31152
376,247.27907
377,247.25606
378,247.23851
379,247.21677
380,247.18808
381,247.16064
382,247.13951
383,247.12032
384,247.09734
385,247.07092
386,247.04593
387,247.02467
388,247.00436
389,246.98067
390,246.9512
391,246.92001
392,246.90556
393,246.87457
394,246.85323
395,246.83408
396,246.81052
397,246.7848
398,246.75919
399,246.73825
400,246.71611
401,246.69115
402,246.66754
403,246.64645
404,246.62328
405,246.59834
406,246.57594
407,246.554
408,246.52979
409,246.50697
410,246.48427
