Epochs,loss
1,1084.1056
2,1082.4376
3,1080.8275
4,1079.2449
5,1077.6722
6,1076.0989
7,1074.5096
8,1072.8844
9,1071.1934
10,1069.4331
11,1067.5884
12,1065.6427
13,1063.5891
14,1061.421
15,1059.1428
16,1056.7648
17,1054.2849
18,1051.6936
19,1048.9745
20,1046.1183
21,1043.1818
22,1040.2062
23,1037.2108
24,1034.2329
25,1031.3102
26,1028.4291
27,1025.563
28,1022.6939
29,1019.7923
30,1016.83997
31,1013.86536
32,1010.89386
33,1007.92267
34,1004.94556
35,1001.94794
36,998.9207
37,995.8668
38,992.8035
39,989.7561
40,986.7484
41,983.7475
42,980.74945
43,977.76434
44,974.79297
45,971.8657
46,969.01
47,966.2106
48,963.4587
49,960.71967
50,957.96576
51,955.1761
52,952.38257
53,949.6695
54,947.0664
55,944.5486
56,942.06177
57,939.57404
58,937.0691
59,934.5203
60,931.8792
61,929.106
62,926.1851
63,923.25446
64,920.4002
65,917.6382
66,914.96906
67,912.3758
68,909.85925
69,907.4196
70,905.0217
71,902.57623
72,900.02734
73,897.3989
74,894.7444
75,892.1619
76,889.68396
77,887.2653
78,884.92535
79,882.58453
80,880.2913
81,878.0256
82,875.7317
83,873.4006
84,871.11743
85,868.90094
86,866.6705
87,864.4897
88,862.34375
89,860.19476
90,858.0957
91,855.9886
92,853.92535
93,851.91754
94,849.90375
95,847.97296
96,845.9566
97,843.861
98,841.7124
99,839.628
100,837.6537
101,835.74225
102,833.8214
103,831.8478
104,829.84625
105,827.87085
106,825.9378
107,823.98004
108,822.0553
109,820.25836
110,818.49896
111,816.6953
112,814.9036
113,813.12317
114,811.3478
115,809.5911
116,807.8433
117,806.10114
118,804.35944
119,802.62085
120,800.9075
121,799.1919
122,797.4653
123,795.76996
124,794.08887
125,792.42377
126,790.80164
127,789.1524
128,787.5046
129,785.87604
130,784.2552
131,782.6412
132,781.02496
133,779.40735
134,777.7769
135,776.1354
136,774.4734
137,772.8061
138,771.1346
139,769.4768
140,767.8482
141,766.26025
142,764.668
143,763.0175
144,761.4056
145,759.8306
146,758.2642
147,756.70996
148,755.16437
149,753.61786
150,752.07263
151,750.5438
152,749.03125
153,747.51855
154,745.9905
155,744.47473
156,742.9842
157,741.5767
158,740.0484
159,738.5391
160,737.0941
161,735.678
162,734.2277
163,732.81195
164,731.4086
165,730.00793
166,728.61523
167,727.222
168,725.8234
169,724.4254
170,723.0379
171,721.67053
172,720.29694
173,718.8925
174,717.4922
175,716.12024
176,714.7656
177,713.42554
178,712.08606
179,710.7473
180,709.41394
181,708.0919
182,706.7873
183,705.47986
184,704.1721
185,702.86743
186,701.5841
187,700.31384
188,699.0386
189,697.77045
190,696.5055
191,695.2495
192,693.99634
193,692.7478
194,691.51874
195,690.2974
196,689.0665
197,687.8346
198,686.621
199,685.4193
200,684.2276
201,683.02795
202,681.84454
203,680.64655
204,679.4655
205,678.2765
206,677.09955
207,675.9116
208,674.74115
209,673.5956
210,672.4427
211,671.3059
212,670.1722
213,669.06305
214,667.87537
215,666.6914
216,665.5014
217,664.3524
218,663.20636
219,662.06055
220,660.8903
221,659.79236
222,658.65405
223,657.56696
224,656.425
225,655.3327
226,654.2245
227,653.14014
228,652.052
229,650.95856
230,649.88403
231,648.8114
232,647.75507
233,646.6945
234,645.6371
235,644.58734
236,643.5326
237,642.49524
238,641.4588
239,640.4171
240,639.37976
241,638.3485
242,637.32355
243,636.3059
244,635.2882
245,634.27734
246,633.26245
247,632.24976
248,631.23553
249,630.2296
250,629.2469
251,628.3074
252,627.46936
253,626.4822
254,625.4444
255,624.36115
256,623.3438
257,622.41327
258,621.1949
259,620.08606
260,619.11786
261,618.02783
262,616.952
263,615.96014
264,615.0035
265,614.04724
266,613.0658
267,612.12537
268,611.22614
269,610.2731
270,609.3239
271,608.40985
272,607.49255
273,606.58093
274,605.6574
275,604.7329
276,603.83746
277,602.9373
278,602.0403
279,601.14856
280,600.24677
281,599.3623
282,598.47424
283,597.59576
284,596.72034
285,595.84973
286,594.9827
287,594.12164
288,593.2619
289,592.41125
290,591.57324
291,590.7549
292,589.9651
293,589.2518
294,588.4334
295,587.6132
296,586.61615
297,585.6779
298,584.9431
299,584.15643
300,583.34454
301,582.4893
302,581.5992
303,580.85205
304,580.0379
