Epochs,loss
1,1084.5437
2,1083.3888
3,1082.093
4,1080.6359
5,1078.985
6,1077.1603
7,1075.2262
8,1073.2223
9,1071.1448
10,1068.9435
11,1066.6838
12,1064.3605
13,1061.965
14,1059.5548
15,1057.1503
16,1054.6853
17,1052.1478
18,1049.6072
19,1046.9971
20,1044.2522
21,1041.3439
22,1038.2307
23,1035.0093
24,1031.8225
25,1028.5609
26,1025.2079
27,1021.8704
28,1018.6198
29,1015.41455
30,1012.22253
31,1009.0267
32,1005.81824
33,1002.58527
34,999.35754
35,996.163
36,993.0612
37,990.04724
38,987.03644
39,984.0038
40,980.96735
41,977.97107
42,975.01276
43,972.0572
44,969.1224
45,966.1823
46,963.2197
47,960.2428
48,957.2858
49,954.38245
50,951.57904
51,948.84625
52,946.11804
53,943.37244
54,940.6451
55,937.95856
56,935.31586
57,932.7259
58,930.1807
59,927.67316
60,925.20197
61,922.7632
62,920.3502
63,917.97626
64,915.628
65,913.30066
66,910.9944
67,908.7203
68,906.4773
69,904.2626
70,902.0639
71,899.8777
72,897.6965
73,895.5249
74,893.3416
75,891.1714
76,889.04614
77,886.9425
78,884.8543
79,882.7746
80,880.70953
81,878.65216
82,876.6006
83,874.553
84,872.51587
85,870.49506
86,868.4878
87,866.49695
88,864.5248
89,862.5715
90,860.6341
91,858.7168
92,856.81726
93,854.9314
94,853.02576
95,851.12164
96,849.19867
97,847.2306
98,845.18164
99,843.1399
100,841.0763
101,839.0709
102,837.186
103,835.2635
104,833.2347
105,831.2106
106,829.2977
107,827.42566
108,825.5619
109,823.6925
110,821.83325
111,819.9743
112,818.1268
113,816.29333
114,814.48157
115,812.68964
116,810.9256
117,809.1787
118,807.4322
119,805.70795
120,803.99243
121,802.29376
122,800.60693
123,798.92706
124,797.2598
125,795.6013
126,793.95337
127,792.3248
128,790.7037
129,789.09174
130,787.4973
131,785.9141
132,784.3517
133,782.77924
134,781.2148
135,779.6658
136,778.1302
137,776.60425
138,775.07916
139,773.5728
140,772.08136
141,770.58765
142,769.0889
143,767.6165
144,766.1408
145,764.6664
146,763.1957
147,761.72614
148,760.26196
149,758.7896
150,757.31696
151,755.8585
152,754.4254
153,753.01776
154,751.62177
155,750.2406
156,748.87494
157,747.5122
158,746.16394
159,744.8143
160,743.47327
161,742.1392
162,740.81946
163,739.511
164,738.19495
165,736.8792
166,735.5601
167,734.23395
168,732.8586
169,731.4271
170,730.06006
171,728.74524
172,727.46814
173,726.2606
174,724.904
175,723.6392
176,722.3583
177,721.11316
178,719.8471
179,718.59045
180,717.33936
181,716.10364
182,714.8658
183,713.63525
184,712.3981
185,711.18774
186,709.97
187,708.78204
188,707.5713
189,706.3713
190,705.18286
191,703.9968
192,702.8306
193,701.65405
194,700.50757
195,699.32465
196,698.1607
197,697.08673
198,695.8781
199,694.7211
200,693.62134
201,692.4448
202,691.34076
203,690.23175
204,689.0843
205,688.03937
206,686.9003
207,685.79626
208,684.73895
209,683.58606
210,682.52686
211,681.44147
212,680.3177
213,679.264
214,678.17377
215,677.13666
216,676.065
217,675.0008
218,673.9622
219,672.88763
220,671.8426
221,670.7856
222,669.7397
223,668.6821
224,667.6474
225,666.61694
226,665.5699
227,664.5507
228,663.5235
229,662.5027
230,661.4777
231,660.44354
232,659.4323
233,658.42444
234,657.3999
235,656.4044
236,655.4115
237,654.4087
238,653.3698
239,652.246
240,651.04065
241,649.90735
242,648.8422
243,647.8458
244,646.86066
245,645.87415
246,644.9055
247,643.9132
248,643.0265
249,642.1465
250,641.13696
251,640.24536
252,639.2121
253,638.3101
254,637.28467
255,636.3969
256,635.43256
257,634.4917
258,633.549
259,632.605
260,631.68304
261,630.751
262,629.84985
263,628.9432
264,628.058
265,627.17474
266,626.2512
267,625.3648
268,624.4826
269,623.60406
270,622.7972
271,621.9165
272,620.9925
273,620.1052
274,619.26416
275,618.4952
276,617.84686
277,616.8117
278,615.9524
279,615.0753
280,614.18445
281,613.36475
282,612.4804
283,611.62555
284,610.77954
285,609.9249
286,609.0904
287,608.2111
288,607.3881
289,606.4814
290,605.57654
291,604.6132
292,603.7414
293,602.8121
294,601.87134
295,601.00055
296,600.1501
297,599.3071
298,598.5282
299,597.7407
300,596.83014
301,596.0962
302,595.31866
303,594.43726
304,593.64874
305,592.80725
306,591.9933
307,591.19196
308,590.4085
309,589.5671
310,588.87317
311,588.0746
312,587.2973
313,586.5834
314,585.8812
315,584.93164
316,584.432
317,583.5667
318,582.85046
319,582.02856
320,581.30133
321,580.44995
322,579.7788
323,578.9186
324,578.205
325,577.42584
326,576.6443
327,575.9365
328,575.1375
329,574.4326
330,573.6881
331,572.9491
332,572.2399
333,571.49133
334,570.7558
335,570.0286
336,569.2952
337,568.56036
338,567.8427
339,567.10126
340,566.39215
341,565.6732
342,564.9475
343,564.2579
344,563.5613
345,562.82983
346,562.17944
347,561.4947
348,560.75977
349,560.02985
350,559.35254
351,558.68604
352,557.94037
353,557.24225
354,556.5654
355,555.8775
356,555.1737
357,554.5025
358,553.85254
359,553.14703
360,552.4448
361,551.7799
362,551.1119
363,550.4111
364,549.7697
365,549.1285
366,548.417
367,547.7444
368,547.0927
369,546.4311
370,545.7708
371,545.1134
372,544.4698
373,543.8165
374,543.15845
375,542.51764
376,541.90295
377,541.2623
378,540.5934
379,539.977
380,539.34503
381,538.7144
382,538.08154
383,537.44275
384,536.8192
385,536.18243
386,535.53345
387,534.9117
388,534.2992
389,533.673
390,533.05365
391,532.5731
392,532.1708
393,531.5747
394,530.9831
395,530.17554
396,529.48895
397,529.01227
398,528.19495
399,527.6991
400,527.0434
401,526.28015
402,525.7792
403,525.085
404,524.4321
405,523.7711
406,523.0708
407,521.64996
408,520.8398
