Epochs,loss
1,1083.3171
2,977.99164
3,884.4827
4,801.32477
5,727.2573
6,661.2864
7,602.6213
8,550.61896
9,504.77664
10,464.65057
11,429.82468
12,399.90247
13,374.42346
14,352.88425
15,334.74203
16,319.4017
17,306.28214
18,294.86185
19,284.68274
20,275.38593
21,266.71838
22,258.44266
23,250.34163
24,242.27142
25,234.18422
26,226.11493
27,218.17369
28,210.51062
29,203.2962
30,196.68166
31,190.77916
32,185.6527
33,181.29633
34,177.61751
35,174.44926
36,171.59578
37,168.87709
38,166.1597
39,163.36674
40,160.47586
41,157.51228
42,154.53548
43,151.62001
44,148.83536
45,146.22466
46,143.79546
47,141.52402
48,139.37178
49,137.29779
50,135.2742
51,133.29187
52,131.36014
53,129.49901
54,127.72909
55,126.06473
56,124.50664
57,123.041214
58,121.64694
59,120.30135
60,118.98773
61,117.701416
62,116.44691
63,115.23275
64,114.06399
65,112.94093
66,111.85688
67,110.80359
68,109.77571
69,108.77047
70,107.788765
71,106.83452
72,105.9105
73,105.01359
74,104.1398
75,103.288155
76,102.454216
77,101.63781
78,100.83982
79,100.06358
80,99.30649
81,98.5655
82,97.8374
83,97.12281
84,96.4223
85,95.73481
86,95.06044
87,94.39915
88,93.75038
89,93.11478
90,92.49271
91,91.88479
92,91.2903
93,90.71024
94,90.14126
95,89.5802
96,89.0259
97,88.47898
98,87.9402
99,87.41105
100,86.89176
101,86.38189
102,85.881645
103,85.391304
104,84.91024
105,84.438126
106,83.97476
107,83.5202
108,83.0744
109,82.63703
110,82.20767
111,81.786
112,81.37174
113,80.964874
114,80.56551
115,80.173676
116,79.78921
117,79.41218
118,79.04271
119,78.68058
120,78.32563
121,77.97784
122,77.636765
123,77.30229
124,76.974434
125,76.65299
126,76.338104
127,76.02973
128,75.727516
129,75.43122
130,75.14166
131,74.85906
132,74.582634
133,74.31192
134,74.04671
135,73.78642
136,73.53051
137,73.28031
138,73.0371
139,72.79987
140,72.567024
141,72.338486
142,72.11424
143,71.891045
144,71.66988
145,71.4509
146,71.23568
147,71.02702
148,70.82699
149,70.63589
150,70.45467
151,70.28068
152,70.11041
153,69.94252
154,69.77753
155,69.61619
156,69.45892
157,69.30587
158,69.15637
159,69.01066
160,68.86864
161,68.73012
162,68.59469
163,68.462006
164,68.33181
165,68.20394
166,68.078606
167,67.9558
168,67.83528
169,67.71684
170,67.60012
171,67.485245
172,67.37211
173,67.260796
174,67.15108
175,67.04306
176,66.93634
177,66.83079
178,66.726425
179,66.62319
180,66.521034
181,66.42042
182,66.32113
183,66.22285
184,66.12553
185,66.02872
186,65.93265
187,65.8373
188,65.74253
189,65.648315
190,65.55488
191,65.46254
192,65.371414
193,65.281105
194,65.19173
195,65.104965
196,65.01984
197,64.93537
198,64.85089
199,64.76604
200,64.681564
201,64.597725
202,64.51423
203,64.43086
204,64.34778
205,64.265434
206,64.18312
207,64.101364
208,64.020485
209,63.93974
210,63.85861
211,63.777676
212,63.6972
213,63.616657
214,63.535328
215,63.453304
216,63.371273
217,63.290005
218,63.20922
219,63.129166
220,63.049015
221,62.96844
222,62.889023
223,62.81031
224,62.730267
225,62.64966
226,62.568424
227,62.485928
228,62.403606
229,62.32373
230,62.245296
231,62.167522
232,62.090008
233,62.012608
234,61.935604
235,61.858917
236,61.782974
237,61.707813
238,61.633717
239,61.560246
240,61.486557
241,61.412395
242,61.3384
243,61.26451
244,61.191032
245,61.117474
246,61.043846
247,60.970425
248,60.89729
249,60.82422
250,60.751724
251,60.679745
252,60.608555
253,60.537815
254,60.467278
255,60.396908
256,60.32676
257,60.25667
258,60.186447
259,60.116222
260,60.04592
261,59.9752
262,59.904705
263,59.834408
264,59.76432
265,59.69448
266,59.624954
267,59.55557
268,59.487312
269,59.4206
270,59.353844
271,59.287655
272,59.223488
273,59.166367
274,59.112427
275,59.06088
276,58.982513
277,58.901733
278,58.844753
279,58.801907
280,58.74786
281,58.674316
282,58.610054
283,58.564358
284,58.516514
285,58.454025
286,58.38947
287,58.33856
288,58.29307
289,58.238487
290,58.178417
291,58.124783
292,58.078484
293,58.0302
294,57.975533
295,57.920853
296,57.87136
297,57.824905
298,57.77646
299,57.7247
300,57.67285
301,57.62371
302,57.577026
303,57.530632
304,57.482826
305,57.43373
306,57.384514
307,57.33636
308,57.289684
309,57.243973
310,57.198845
311,57.154026
312,57.109463
313,57.06505
314,57.021095
315,56.97749
316,56.9347
317,56.89234
318,56.85081
319,56.80921
320,56.767742
321,56.725113
322,56.681698
323,56.63698
324,56.592205
325,56.547993
326,56.50509
327,56.463608
328,56.423355
329,56.384068
330,56.345642
331,56.308308
332,56.272606
333,56.239887
334,56.211205
335,56.188694
336,56.16706
337,56.138332
338,56.086246
339,56.020782
340,55.965694
341,55.935898
342,55.91963
343,55.89412
344,55.849964
345,55.79703
346,55.754913
347,55.727707
348,55.703644
349,55.670288
350,55.625717
351,55.580173
352,55.542866
353,55.51354
354,55.48579
355,55.453693
356,55.41586
357,55.37572
358,55.338375
359,55.305534
360,55.275852
361,55.2468
362,55.216328
363,55.183464
364,55.14892
365,55.114178
366,55.080418
367,55.048172
368,55.017277
369,54.98738
370,54.957966
371,54.928864
372,54.89999
373,54.871307
374,54.842934
375,54.8148
376,54.78724
377,54.759888
378,54.732944
379,54.705444
380,54.67705
381,54.646603
382,54.614502
383,54.58081
384,54.547043
385,54.51418
386,54.483063
387,54.453846
388,54.42627
389,54.399933
390,54.37456
391,54.35019
392,54.326946
393,54.30544
394,54.285923
395,54.2693
396,54.254368
397,54.239994
398,54.21981
399,54.18998
400,54.147438
401,54.100563
402,54.05986
403,54.032223
404,54.015667
405,54.00307
406,53.98741
407,53.963535
408,53.93213
409,53.896942
410,53.86431
411,53.83771
412,53.81692
413,53.79929
414,53.781593
415,53.761703
416,53.738308
417,53.712154
418,53.684433
419,53.656982
420,53.631035
421,53.607082
422,53.58488
423,53.56401
424,53.54396
425,53.524387
426,53.505203
427,53.486336
428,53.467953
429,53.450024
430,53.432774
431,53.415684
432,53.398777
433,53.380634
434,53.36084
435,53.337585
436,53.311325
437,53.282185
438,53.252518
439,53.224148
440,53.198647
441,53.176365
442,53.15683
443,53.13923
444,53.122833
445,53.107193
446,53.092
447,53.077354
448,53.06272
449,53.048225
450,53.03257
451,53.01551
452,52.99521
453,52.971947
454,52.94535
455,52.91741
456,52.889713
457,52.86417
458,52.841522
459,52.8218
460,52.804596
461,52.78867
462,52.773594
463,52.759335
464,52.74575
465,52.732513
466,52.719757
467,52.707005
468,52.694168
469,52.679775
470,52.66316
471,52.6426
472,52.618645
473,52.591473
474,52.56353
475,52.536846
476,52.513218
477,52.49318
478,52.476242
479,52.46151
480,52.448116
481,52.43553
482,52.42331
483,52.411327
484,52.399227
485,52.38692
486,52.373734
487,52.359364
488,52.342815
489,52.323967
490,52.302376
491,52.278965
492,52.254597
493,52.230804
494,52.208508
495,52.18833
496,52.17024
497,52.153862
498,52.138733
499,52.124557
500,52.11116
