Epochs,loss
1,1087.036
2,1074.0201
3,1064.3365
4,1058.1678
5,1053.6166
6,1050.1376
7,1047.2075
8,1044.5054
9,1041.8423
10,1039.1807
11,1036.5061
12,1033.8302
13,1031.1312
14,1028.4191
15,1025.7041
16,1023.0048
17,1020.31744
18,1017.6542
19,1015.01434
20,1012.3981
21,1009.79724
22,1007.2075
23,1004.6281
24,1002.05273
25,999.46704
26,996.88525
27,994.34546
28,991.8215
29,989.3453
30,986.89935
31,984.47266
32,982.0677
33,979.67993
34,977.3062
35,974.94336
36,972.5889
37,970.25104
38,967.9422
39,965.64087
40,963.3472
41,961.0602
42,958.7967
43,956.529
44,954.296
45,952.0836
46,949.8847
47,947.6816
48,945.4894
49,943.31805
50,941.164
51,939.0124
52,936.866
53,934.7316
54,932.61835
55,930.5114
56,928.4067
57,926.3225
58,924.25616
59,922.22
60,920.18774
61,918.1705
62,916.1724
63,914.19
64,912.219
65,910.2555
66,908.31366
67,906.3838
68,904.46277
69,902.5533
70,900.6611
71,898.7836
72,896.918
73,895.0619
74,893.22095
75,891.3959
76,889.5807
77,887.7759
78,885.9867
79,884.2109
80,882.4472
81,880.69446
82,878.9535
83,877.2243
84,875.506
85,873.7987
86,872.1027
87,870.41907
88,868.74585
89,867.0827
90,865.42975
91,863.78674
92,862.1538
93,860.5307
94,858.9181
95,857.31433
96,855.7198
97,854.136
98,852.56177
99,850.9972
100,849.44366
101,847.90594
102,846.3909
103,844.8809
104,843.32306
105,841.8248
106,840.3518
107,838.8264
108,837.35333
109,835.909
110,834.4145
111,832.9536
112,831.5288
113,830.0752
114,828.62885
115,827.2153
116,825.807
117,824.3966
118,822.98364
119,821.5879
120,820.21344
121,818.8436
122,817.48517
123,816.11676
124,814.7486
125,813.39453
126,812.0497
127,810.71924
128,809.39557
129,808.07983
130,806.79626
131,805.57794
132,804.308
133,802.9912
134,801.5805
135,800.45447
136,799.19995
137,797.7712
138,796.7672
139,795.4176
140,794.1103
141,792.9993
142,791.556
143,790.4655
144,789.09534
145,788.0118
146,786.7495
147,785.494
148,784.4009
149,783.0543
150,781.95953
151,780.7246
152,779.5332
153,778.3937
154,777.1798
155,776.0765
156,774.90204
157,773.7292
158,772.6153
159,771.4668
160,770.31146
161,769.2179
162,768.09534
163,766.9428
164,765.85144
165,764.7801
166,763.6539
167,762.529
168,761.4465
169,760.385
170,759.3186
171,758.22955
172,757.14197
173,756.0665
174,755.00275
175,753.9517
176,752.91565
177,751.90063
178,750.929
179,750.0806
180,749.05853
181,747.9529
182,746.7393
183,745.9197
184,745.0527
185,743.82684
186,742.8781
187,742.03986
188,740.76227
189,739.9826
190,739.1382
191,737.82007
192,737.174
193,736.2538
194,734.96564
195,734.4583
196,733.2234
197,732.26086
198,731.481
199,730.2054
200,729.47815
201,728.3934
202,727.4905
203,726.64215
204,725.564
205,724.8173
206,723.8245
207,722.84705
208,722.08484
209,721.0592
210,720.14844
211,719.34955
212,718.3486
213,717.46735
214,716.65216
215,715.6914
216,714.79266
217,713.9977
218,713.1055
219,712.17566
220,711.3557
221,710.54205
222,709.6335
223,708.7474
224,707.93304
225,707.11096
226,706.24475
227,705.3722
228,704.5393
229,703.7371
230,702.9347
231,702.12714
232,701.2978
233,700.45667
234,699.6119
235,698.7865
236,697.9738
237,697.16675
238,696.3687
239,695.59155
240,694.84863
241,694.2808
242,694.0741
243,693.60455
244,692.27954
245,691.1475
246,691.04913
247,689.527
248,689.04395
249,688.2145
250,687.1913
251,686.7131
252,685.6111
253,685.148
254,684.1949
255,683.43915
256,682.81726
257,681.82684
258,681.22266
259,680.40094
260,679.60724
261,678.9741
262,678.1109
263,677.4197
264,676.7239
265,675.90027
266,675.2082
267,674.5099
268,673.71405
269,673.00714
270,672.3435
271,671.592
272,670.8335
273,670.13544
274,669.4534
275,668.73035
276,667.99475
277,667.2872
278,666.62115
279,665.9396
280,665.2515
281,664.57214
282,663.8674
283,663.17773
284,662.49786
285,661.8414
286,661.2098
287,660.6321
288,660.14166
289,659.6301
290,658.9667
291,657.8897
292,657.1217
293,656.7175
294,656.2034
295,655.2657
296,654.4915
297,653.9406
298,653.44257
299,652.75665
300,651.97723
301,651.2418
302,650.66266
303,650.12976
304,649.51306
305,648.82294
306,648.09
307,647.3986
308,646.7828
309,646.21954
310,645.7046
311,645.249
312,644.85297
313,644.2945
314,643.4556
315,642.44574
316,641.93164
317,641.5961
318,640.7708
319,639.95483
320,639.4731
321,639.00714
322,638.335
323,637.5476
324,636.94147
325,636.4859
326,635.99554
327,635.3839
328,634.63965
329,633.9301
330,633.3606
331,632.881
332,632.3787
333,631.8047
334,631.1535
335,630.47107
336,629.82056
337,629.2256
338,628.6728
339,628.16925
340,627.80115
341,627.77747
342,628.17084
343,627.43097
344,625.4067
345,625.97815
346,625.1915
347,623.9523
348,624.4087
349,622.8319
350,622.67053
351,622.0432
352,620.9977
353,620.9797
354,619.90735
355,619.5675
356,619.1237
357,618.2146
358,617.9748
359,617.27747
360,616.5777
361,616.2956
362,615.57654
363,614.96063
364,614.5997
365,613.9396
366,613.3188
367,612.9396
368,612.37494
369,611.70465
370,611.2178
371,610.80756
372,610.2816
373,609.6367
374,609.03516
375,608.55176
376,608.1004
377,607.6268
378,607.0701
379,606.5088
380,605.94196
381,605.39856
382,604.8753
383,604.3533
384,603.8402
385,603.33624
386,602.9078
387,602.9072
388,604.47034
389,606.5653
390,602.8447
391,603.31024
392,601.7138
393,601.37036
394,600.89417
395,600.07025
396,599.6314
397,598.7975
398,598.51544
399,597.8086
400,597.5097
401,596.5224
402,596.35693
403,595.62585
404,595.33356
405,594.5291
406,594.19727
407,593.54596
408,593.1261
409,592.51715
410,592.03375
411,591.52844
412,590.99384
413,590.5528
414,590.0156
415,589.4828
416,588.9942
417,588.5376
418,588.0443
419,587.55176
420,587.08984
421,586.6042
422,586.1152
423,585.63525
424,585.17114
425,584.6971
426,584.19434
427,583.71075
428,583.232
429,582.8049
430,582.3417
431,581.9586
432,581.68805
433,581.36786
434,580.75745
435,580.07404
436,579.6258
437,579.3772
438,579.05035
439,578.4822
440,577.7978
441,577.34326
442,577.06
443,576.7928
444,576.3139
445,575.7071
446,575.1387
447,574.61896
448,574.2801
449,573.9959
450,573.6736
451,573.31616
452,572.83496
453,572.1491
454,571.5409
455,571.13794
456,570.9188
457,570.86676
458,570.8783
459,570.20636
460,569.17645
461,568.54156
462,568.4677
463,568.4344
464,568.1239
465,567.2238
466,566.52
467,566.2225
468,566.12213
469,565.8729
470,565.2084
471,564.35956
472,563.92096
473,563.8939
474,563.7954
475,563.6143
476,563.0165
477,562.01996
478,561.3777
479,561.24603
480,561.0554
481,560.6416
482,560.3067
483,560.24927
484,559.06714
485,558.75934
486,559.5586
487,558.7482
488,558.93243
489,557.3759
490,557.035
491,556.8658
492,557.1988
493,556.5897
494,555.54626
495,555.18616
496,555.2
497,554.8876
498,554.5056
499,553.4393
500,552.8902
