Epochs,loss
1,1085.1195
2,1070.6473
3,1065.0156
4,1062.0653
5,1059.8584
6,1057.916
7,1056.001
8,1054.1663
9,1052.378
10,1050.6028
11,1048.8346
12,1047.08
13,1045.3324
14,1043.5806
15,1041.8313
16,1040.0934
17,1038.3647
18,1036.6406
19,1034.9208
20,1033.203
21,1031.4912
22,1029.7932
23,1028.1049
24,1026.4258
25,1024.7552
26,1023.0934
27,1021.44073
28,1019.7965
29,1018.16156
30,1016.5358
31,1014.91925
32,1013.3117
33,1011.7138
34,1010.1251
35,1008.54584
36,1006.976
37,1005.41565
38,1003.8648
39,1002.3234
40,1000.7917
41,999.26874
42,997.75586
43,996.2521
44,994.7585
45,993.2732
46,991.79767
47,990.33203
48,988.875
49,987.42737
50,985.9888
51,984.5595
52,983.13916
53,981.72815
54,980.3256
55,978.9327
56,977.54816
57,976.1724
58,974.80524
59,973.4474
60,972.0974
61,970.756
62,969.4228
63,968.09814
64,966.7819
65,965.47345
66,964.1729
67,962.8802
68,961.5958
69,960.31885
70,959.04895
71,957.7869
72,956.532
73,955.2841
74,954.0429
75,952.80865
76,951.58105
77,950.35925
78,949.14343
79,947.933
80,946.7276
81,945.526
82,944.32764
83,943.12976
84,941.93024
85,940.7457
86,939.5407
87,938.3673
88,937.1909
89,936.0097
90,934.8352
91,933.68567
92,932.50934
93,931.2867
94,930.20856
95,928.9513
96,927.7946
97,926.6632
98,925.45996
99,924.3367
100,923.219
101,922.0488
102,920.89716
103,919.7122
104,918.5664
105,917.41394
106,916.2001
107,915.07825
108,913.8642
109,912.73627
110,911.52136
111,910.44275
112,909.3256
113,908.1268
114,907.0272
115,905.9376
116,904.8237
117,903.7116
118,902.6248
119,901.50134
120,900.3859
121,899.26276
122,898.17633
123,897.082
124,895.9625
125,894.8653
126,893.77747
127,892.6906
128,891.5926
129,890.4842
130,889.40106
131,888.3188
132,887.2428
133,886.16565
134,885.0936
135,884.0273
136,882.98254
137,881.9223
138,880.8666
139,879.81384
140,878.754
141,877.70544
142,876.65845
143,875.62616
144,874.58356
145,873.546
146,872.51434
147,871.4907
148,870.461
149,869.43854
150,868.4193
151,867.3992
152,866.3853
153,865.3698
154,864.3641
155,863.365
156,862.3643
157,861.3687
158,860.3727
159,859.3782
160,858.3912
161,857.406
162,856.4244
163,855.4466
164,854.4706
165,853.49774
166,852.5262
167,851.55786
168,850.59265
169,849.6304
170,848.67145
171,847.71375
172,846.75885
173,845.80725
174,844.858
175,843.91284
176,842.96906
177,842.0276
178,841.08875
179,840.15405
180,839.2222
181,838.2925
182,837.36456
183,836.43945
184,835.51746
185,834.59827
186,833.68176
187,832.7666
188,831.8546
189,830.94476
190,830.0371
191,829.13153
192,828.2294
193,827.3302
194,826.4353
195,825.54895
196,824.66235
197,823.77423
198,822.8745
199,822.03735
200,821.11676
201,820.2662
202,819.4424
203,818.5296
204,817.68195
205,816.9087
206,815.98846
207,815.17175
208,814.367
209,813.5122
210,812.6179
211,811.72253
212,810.9975
213,810.0939
214,809.29803
215,808.5154
216,807.7143
217,806.8823
218,806.0235
219,805.1779
220,804.32104
221,803.5029
222,802.6479
223,801.8489
224,801.03436
225,800.27606
226,799.37756
227,798.527
228,797.7736
229,796.95135
230,796.1389
231,795.36383
232,794.5453
233,793.7577
234,792.95337
235,792.17957
236,791.42816
237,790.65454
238,789.86285
239,789.17035
240,788.4344
241,787.55896
242,786.9214
243,786.19165
244,785.41736
245,784.6363
246,783.9343
247,783.16565
248,782.4349
249,781.6183
250,780.9882
251,780.378
252,779.5336
253,778.9664
254,778.1887
255,777.47943
256,777.27875
257,776.27277
258,775.93207
259,775.1616
260,774.8037
261,774.1607
262,773.4006
263,772.8379
264,772.2387
265,771.69
266,770.7249
267,770.24255
268,769.451
269,769.20276
270,768.52625
271,768.0415
272,767.27844
273,766.2506
274,766.21295
275,764.7738
276,764.52185
277,763.63983
278,762.972
279,762.3552
280,762.0119
281,761.73035
282,760.6602
283,760.22784
284,759.8663
285,758.6529
286,757.6748
287,757.10693
288,756.11163
289,755.64703
290,754.371
291,753.7513
292,753.0186
293,752.0346
294,751.594
295,750.56384
296,749.6821
297,748.96216
298,747.9808
299,747.0893
300,746.2165
301,745.65076
302,744.69055
303,744.2283
304,743.1986
305,742.44385
306,741.7758
307,740.87555
308,740.291
309,739.57983
310,738.67725
311,737.89386
312,737.0703
313,736.19696
314,735.471
315,734.7184
316,733.9628
317,733.2002
318,732.4716
319,731.7525
320,730.9705
321,730.21027
