Epochs,loss
1,1087.036
2,1074.0201
3,1064.3365
4,1058.1678
5,1053.6166
6,1050.1376
7,1047.2075
8,1044.5054
9,1041.8423
10,1039.1807
11,1036.5061
12,1033.8302
13,1031.1312
14,1028.4191
15,1025.7041
16,1023.0048
17,1020.31744
18,1017.6542
19,1015.01434
20,1012.3981
21,1009.79724
22,1007.2075
23,1004.6281
24,1002.05273
25,999.46704
26,996.88525
27,994.34546
28,991.8215
29,989.3453
30,986.89935
31,984.47266
32,982.0677
33,979.67993
34,977.3062
35,974.94336
36,972.5889
37,970.25104
38,967.9422
39,965.64087
40,963.3472
41,961.0602
42,958.7967
43,956.529
44,954.296
45,952.0836
46,949.8847
47,947.6816
48,945.4894
49,943.31805
50,941.164
51,939.0124
52,936.866
53,934.7316
54,932.61835
55,930.5114
56,928.4067
57,926.3225
58,924.25616
59,922.22
60,920.18774
61,918.1705
62,916.1725
63,914.19
64,912.219
65,910.2555
66,908.31366
67,906.3838
68,904.4627
69,902.5533
70,900.6611
71,898.7836
72,896.918
73,895.0619
74,893.22095
75,891.3959
76,889.5807
77,887.7759
78,885.9867
79,884.2109
80,882.4472
81,880.69446
82,878.9535
83,877.2243
84,875.506
85,873.7987
86,872.1027
87,870.41907
88,868.74585
89,867.0827
90,865.42975
91,863.78674
92,862.1538
93,860.5307
94,858.9181
95,857.31433
96,855.7198
97,854.136
98,852.56177
99,850.9972
100,849.44366
101,847.90594
102,846.3909
103,844.8809
104,843.32306
105,841.8248
106,840.3518
107,838.8264
108,837.35333
109,835.909
110,834.4145
111,832.9536
112,831.5288
113,830.0752
114,828.62885
115,827.2153
116,825.807
117,824.3966
118,822.98364
119,821.5879
120,820.21344
121,818.8436
122,817.48517
123,816.11676
124,814.7486
125,813.3946
126,812.0497
127,810.71924
128,809.39557
129,808.0799
130,806.7963
131,805.578
132,804.308
133,802.9909
134,801.5806
135,800.4542
136,799.19995
137,797.77106
138,796.7671
139,795.41785
140,794.1101
141,792.9998
142,791.5561
143,790.4658
144,789.09546
145,788.0114
146,786.7496
147,785.4941
148,784.40094
149,783.05426
150,781.95953
151,780.725
152,779.53265
153,778.3936
154,777.1798
155,776.07574
156,774.90216
157,773.72906
158,772.6152
159,771.467
160,770.3115
161,769.21814
162,768.0956
163,766.9426
164,765.8515
165,764.7803
166,763.65356
167,762.5286
168,761.44666
169,760.3851
170,759.31836
171,758.22906
172,757.1409
173,756.06604
174,755.0029
175,753.9517
176,752.91595
177,751.902
178,750.93115
179,750.08405
180,749.0516
181,747.9359
182,746.7367
183,745.91364
184,745.0533
185,743.7495
186,742.88336
187,742.0711
188,740.7574
189,740.0071
190,739.1609
191,737.8097
192,737.25836
193,736.2583
194,735.0066
195,734.5131
196,733.13153
197,732.33856
198,731.33527
199,730.2349
200,729.47424
201,728.344
202,727.60144
203,726.5714
204,725.62427
205,724.81354
206,723.7326
207,722.91296
208,721.9969
209,721.0016
210,720.1767
211,719.24365
212,718.3263
213,717.48737
214,716.568
215,715.6617
216,714.81683
217,713.94446
218,713.04395
219,712.18085
220,711.3424
221,710.48663
222,709.6114
223,708.74286
224,707.8976
225,707.06805
226,706.2394
227,705.4078
228,704.57367
229,703.7376
230,702.9067
231,702.0787
232,701.2564
233,700.4436
234,699.65265
235,698.89026
236,698.1851
237,697.4674
238,696.7148
239,695.6989
240,694.775
241,694.0931
242,693.41113
243,692.606
244,691.69214
245,690.8561
246,690.15027
247,689.45575
248,688.73065
249,687.9132
250,687.0624
251,686.22986
252,685.4629
253,684.75934
254,684.073
255,683.3991
256,682.6748
257,681.91174
258,681.02026
259,680.1779
260,679.471
261,678.82074
262,678.20416
263,677.52277
264,676.7692
265,675.8469
266,675.03455
267,674.4002
268,673.7939
269,673.13434
270,672.3283
271,671.4832
272,670.7332
273,670.0783
274,669.4879
275,668.8908
276,668.2799
277,667.47253
278,666.58923
279,665.8492
280,665.2935
281,664.71375
282,663.9979
283,663.2021
284,662.41327
285,661.7541
286,661.1901
287,660.6479
288,660.0979
289,659.39215
290,658.53424
291,657.712
292,657.1509
293,656.65497
294,655.9571
295,655.15594
296,654.4216
297,653.83734
298,653.33154
299,652.78406
300,652.19885
301,651.39655
302,650.5649
303,649.91656
304,649.4323
305,648.8897
306,648.1829
307,647.40753
308,646.72
309,646.1743
310,645.70013
311,645.21277
312,644.6311
313,643.81885
314,642.99445
315,642.3906
316,641.93823
317,641.4054
318,640.69684
319,639.94214
320,639.27246
321,638.7381
322,638.2969
323,637.9188
324,637.5468
325,636.83856
326,635.8193
327,635.13446
328,634.85657
329,634.2722
330,633.35626
331,632.8139
332,632.4605
333,631.7775
334,630.98376
335,630.3821
336,629.9584
337,629.5145
338,628.921
339,628.1867
340,627.4688
341,626.9068
342,626.4493
343,625.9959
344,625.4617
345,624.8512
346,624.1698
347,623.5139
348,622.9039
349,622.3691
350,621.8872
351,621.5255
352,621.52203
353,621.72626
354,622.2885
355,619.48645
356,619.24817
357,619.15466
358,617.85913
359,617.5428
360,617.092
361,616.14166
362,615.85406
363,615.25476
364,614.48126
365,614.07
366,613.56177
367,612.8576
368,612.3938
369,611.8863
370,611.3692
371,610.7532
372,610.12537
373,609.56854
374,609.1129
375,608.5956
376,608.3457
377,608.36774
378,609.1086
379,608.4802
380,606.16
381,606.5845
382,606.2262
383,604.7142
384,605.442
385,603.9981
386,603.57306
387,603.37915
388,602.05493
389,602.1302
390,601.35
391,600.6297
392,600.56665
393,599.7049
394,599.1447
395,598.9214
396,598.1664
397,597.60364
398,597.33374
399,596.7126
400,596.0506
401,595.6962
402,595.28674
403,594.6544
404,594.0829
405,593.63354
406,593.311
407,592.9985
408,592.6019
409,592.0704
410,591.32245
411,590.67584
412,590.2295
413,589.8992
414,589.63586
415,589.437
416,589.0352
417,588.1995
418,587.46246
419,587.04065
420,586.67566
421,586.4788
422,586.0654
423,585.5783
424,584.86566
425,584.1421
426,583.7528
427,583.5293
428,583.4259
429,582.9752
430,582.33154
431,581.46344
432,580.94763
433,580.7395
434,580.4688
435,580.0367
436,579.4532
437,578.87195
438,578.1704
439,577.79156
440,577.7982
441,577.70966
442,578.1325
443,578.6938
444,577.349
445,575.66437
446,575.9665
447,575.1198
448,574.53766
449,574.4892
450,573.37665
451,573.47504
452,572.78375
453,572.2476
454,571.64154
455,571.1372
456,570.9501
457,570.68634
458,571.0709
459,571.83484
460,569.8031
461,569.3498
462,569.38306
463,568.507
464,567.90173
465,567.9935
466,566.7553
467,566.59436
468,566.06696
469,565.59406
470,564.8556
471,564.6862
472,564.1106
473,563.8155
474,563.1599
475,563.0047
476,562.5605
477,562.7655
478,563.07056
479,562.5639
480,560.9028
481,561.3851
482,560.5605
483,559.79865
484,559.93286
485,559.1744
486,558.4579
487,558.1092
488,557.891
489,557.4206
490,556.62775
491,556.30536
492,555.85815
493,555.8197
494,556.7469
495,559.4825
496,556.8866
497,555.7093
498,556.41376
499,554.21936
500,555.5077
501,553.4594
502,553.7102
503,553.035
504,552.2809
505,552.24164
506,551.1341
507,550.92004
508,550.43756
509,549.94836
510,549.5034
511,549.13165
512,548.4888
513,548.1675
514,547.75134
515,547.5955
516,547.67694
517,547.4275
518,546.6878
519,545.6713
520,545.6989
521,545.9052
522,544.8873
523,544.0349
524,543.9275
525,543.80994
526,543.9481
527,543.1336
528,542.1859
529,542.0558
530,541.65857
531,541.96796
532,542.32996
533,542.654
534,541.0479
535,540.1278
536,540.11743
537,539.4482
538,538.7403
539,538.98486
540,538.80756
541,538.8014
542,537.4927
543,537.14215
544,536.4455
545,536.54175
546,536.0177
547,536.2991
548,537.485
549,535.4235
550,534.94763
551,534.8527
552,534.4417
553,533.13983
554,533.5548
555,534.85046
556,536.81134
557,533.85065
558,534.0863
559,533.72394
560,532.0279
561,532.7071
562,531.4001
563,531.6254
564,530.6145
565,530.15375
566,529.8822
567,529.48065
568,528.8079
569,528.42163
570,527.8988
571,528.22144
572,529.84576
573,531.74994
574,527.2423
575,528.58484
576,528.1364
577,526.76984
578,527.50397
579,525.76917
580,526.46893
581,524.7161
582,525.232
583,524.00806
584,524.0572
585,523.2947
586,523.05597
587,523.03314
588,523.4455
589,525.1193
590,523.23004
591,523.15906
592,523.1424
593,521.0728
594,522.0455
595,520.0608
596,520.72363
597,519.5112
598,520.22626
599,518.5985
600,518.66656
601,518.0074
602,518.2756
603,517.8535
604,518.0858
605,517.774
606,517.0563
607,515.8557
608,515.84454
609,515.538
610,518.1023
611,515.99225
612,516.9949
613,519.17633
614,514.6099
615,517.6291
616,513.7666
617,515.64435
618,513.76697
619,513.4937
620,513.36273
621,512.25885
622,512.403
623,511.04727
624,511.43536
625,511.15176
626,511.54907
627,515.21924
628,511.7819
629,513.1626
630,510.64154
631,511.3123
632,510.55566
633,509.26062
634,510.5463
635,508.97006
636,507.53345
637,507.67905
638,507.24838
639,506.7293
640,506.06036
641,505.6296
642,505.42188
643,507.2141
644,510.21765
645,504.8457
646,509.10477
647,506.59402
648,507.18582
649,506.0023
650,506.2982
651,504.43973
652,505.25717
653,503.45422
654,503.73508
655,502.78436
656,502.30405
657,503.07547
658,501.66068
659,500.93228
660,501.48712
661,501.14432
662,499.6863
663,501.3222
664,500.44806
665,499.23157
666,500.1741
667,498.0274
668,498.55457
669,498.67044
670,496.96576
671,496.8858
672,497.84363
673,498.03268
674,496.10144
675,496.64087
676,495.856
677,494.94708
678,495.7912
679,496.36255
680,493.9933
681,494.44543
682,494.2237
683,493.1107
684,492.96323
685,492.049
686,492.03464
687,491.43533
688,493.85495
689,495.21902
690,498.13425
691,495.8041
692,496.20157
693,494.317
694,495.02045
695,493.9138
696,493.81204
697,492.8595
698,492.8495
699,491.93698
700,491.51965
701,490.98352
702,490.5828
703,489.79764
704,490.29413
705,489.20633
706,488.89987
707,487.84857
708,487.31033
709,486.8893
710,489.80743
711,495.13992
712,492.35886
713,491.6584
714,490.40402
715,490.4121
716,487.1103
717,488.34634
718,487.47455
